NCES District ID,State District ID,District Name,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Students*,Teachers*,Schools,Locale Code*,Locale*,Student Teacher Ratio*,Type,Status
1200030,FL-01,ALACHUA,Alachua County,620 E UNIVERSITY AVE,GAINESVILLE,FL,32601,5448,(352)955-7300,28964.00000,1460.78000,68.00000,12,City: Midsize,19.83000000,Regular Local,Open
1200060,FL-02,BAKER,Baker County,270 SOUTH BLVD E,MACCLENNY,FL,32063,2538,(904)259-6251,5003.00000,277.00000,10.00000,32,Town: Distant,18.06000000,Regular Local,Open
1200090,FL-03,BAY,Bay County,1311 BALBOA AVE,PANAMA CITY,FL,32401,2080,(850)767-4100,27324.00000,1463.95000,49.00000,22,Suburb: Midsize,18.66000000,Regular Local,Open
1200120,FL-04,BRADFORD,Bradford County,501 W WASHINGTON ST,STARKE,FL,32091,2525,(904)966-6860,2998.00000,154.41000,11.00000,32,Town: Distant,19.42000000,Regular Local,Open
1200150,FL-05,BREVARD,Brevard County,2700 JUDGE FRAN JAMIESON WAY,VIERA,FL,32940,6601,(321)633-1000,74125.00000,4386.75000,109.00000,21,Suburb: Large,16.90000000,Regular Local,Open
1200180,FL-06,BROWARD,Broward County,600 SE 3RD AVE FL 10,FORT LAUDERDALE,FL,33301,3125,(754)321-0000,254732.00000,12532.89000,325.00000,21,Suburb: Large,20.33000000,Regular Local,Open
1200210,FL-07,CALHOUN,Calhoun County,20859 CENTRAL AVE E,BLOUNTSTOWN,FL,32424,6202,(850)674-5927,2129.00000,133.16000,6.00000,41,Rural: Fringe,15.99000000,Regular Local,Open
1200240,FL-08,CHARLOTTE,Charlotte County,1445 EDUCATION WAY,PORT CHARLOTTE,FL,33948,1052,(941)255-0808,16834.00000,936.00000,25.00000,22,Suburb: Midsize,17.99000000,Regular Local,Open
1200270,FL-09,CITRUS,Citrus County,1007 W MAIN ST,INVERNESS,FL,34450,4625,(352)726-1931,15951.00000,980.13000,27.00000,41,Rural: Fringe,16.27000000,Regular Local,Open
1200300,FL-10,CLAY,Clay County,900 WALNUT ST,GREEN COVE SPRINGS,FL,32043,3129,(904)336-6500,39215.00000,2567.79000,54.00000,21,Suburb: Large,15.27000000,Regular Local,Open
1200330,FL-11,COLLIER,Collier County,5775 OSCEOLA TRL,NAPLES,FL,34109,0919,(239)377-0001,48082.00000,2790.99000,74.00000,21,Suburb: Large,17.23000000,Regular Local,Open
1200360,FL-12,COLUMBIA,Columbia County,372 W DUVAL ST,LAKE CITY,FL,32055,3990,(386)755-8000,9887.00000,548.37000,19.00000,32,Town: Distant,18.03000000,Regular Local,Open
1202016,FL-68,DEAF/BLIND,St. Johns County,207 N SAN MARCO AVE,ST AUGUSTINE,FL,32084,2762,(904)827-2200,497.00000,87.00000,5.00000,23,Suburb: Small,5.71000000,State,Open
1200420,FL-14,DESOTO,DeSoto County,PO BOX 2000,ARCADIA,FL,34265,2000,(863)494-4222,4582.00000,241.00000,10.00000,32,Town: Distant,19.01000000,Regular Local,Open
1200450,FL-15,DIXIE,Dixie County,16077 NE 19 HWY,CROSS CITY,FL,32628,3557,(352)541-6250,2090.00000,122.00000,9.00000,41,Rural: Fringe,17.13000000,Regular Local,Open
1202021,FL-83,DJJ District,†,2737 CENTERVIEW DRIVE,TALLAHASSEE,FL,32399,,(850)488-1850,†,†,0.00000,†,†,†,Charter,Future
1200480,FL-16,DUVAL,Duval County,1701 PRUDENTIAL DR,JACKSONVILLE,FL,32207,8152,(904)390-2000,128657.00000,7048.00000,208.00000,11,City: Large,18.25000000,Regular Local,Open
1200510,FL-17,ESCAMBIA,Escambia County,75 N PACE BLVD,PENSACOLA,FL,32505,7965,(850)432-6121,37851.00000,2173.79000,70.00000,21,Suburb: Large,17.41000000,Regular Local,Open
1202014,FL-74,FAMU LAB SCH,Leon County,400 W ORANGE AVE,TALLAHASSEE,FL,32307,2307,(850)412-5930,621.00000,0.00000,2.00000,12,City: Midsize,†,Other,Open
1202012,FL-72,FAU LAB SCH,Palm Beach County,777 GLADES RD BLDG 47,BOCA RATON,FL,33431,6424,(561)297-3970,2785.00000,133.73000,2.00000,12,City: Midsize,20.83000000,Other,Open
1200002,FL-71,FL VIRTUAL,Orange County,2145 METROCENTER BLVD STE 100,ORLANDO,FL,32835,7642,(407)513-3587,8559.00000,354.00000,3.00000,11,City: Large,24.18000000,Other,Open
1200540,FL-18,FLAGLER,Flagler County,PO BOX 755,BUNNELL,FL,32110,0755,(386)437-7526,13331.00000,720.28000,13.00000,21,Suburb: Large,18.51000000,Regular Local,Open
1200570,FL-19,FRANKLIN,Franklin County,85 SCHOOL RD STE 1,EASTPOINT,FL,32328,3465,(850)670-8579,1208.00000,74.91000,6.00000,41,Rural: Fringe,16.13000000,Regular Local,Open
1202020,FL-82,FSU BAY,†,4750 COLLEGIATE DR,PANAMA CITY,FL,32405,,(850)896-7728,†,†,1.00000,†,†,†,Charter,Added
1202013,FL-73,FSU LAB SCH,Leon County,3000 SCHOOL HOUSE RD,TALLAHASSEE,FL,32311,7855,(850)245-3700,2574.00000,0.00000,3.00000,41,Rural: Fringe,†,Other,Open
1200600,FL-20,GADSDEN,Gadsden County,35 MARTIN LUTHER KING JR BLVD,QUINCY,FL,32351,4411,(850)627-9651,4616.00000,282.80000,17.00000,41,Rural: Fringe,16.32000000,Regular Local,Open
1200630,FL-21,GILCHRIST,Gilchrist County,310 NW 11TH AVE,TRENTON,FL,32693,3804,(352)463-3200,2839.00000,148.76000,7.00000,41,Rural: Fringe,19.08000000,Regular Local,Open
1200660,FL-22,GLADES,Glades County,PO BOX 459,MOORE HAVEN,FL,33471,0459,(863)946-2083,1819.00000,101.00000,9.00000,41,Rural: Fringe,18.01000000,Regular Local,Open
1200690,FL-23,GULF,Gulf County,150 MIDDLE SCHOOL RD,PORT ST JOE,FL,32456,2261,(850)229-8256,1928.00000,123.20000,7.00000,41,Rural: Fringe,15.65000000,Regular Local,Open
1200720,FL-24,HAMILTON,Hamilton County,5683 US HIGHWAY 129 S,JASPER,FL,32052,3743,(386)792-7800,1657.00000,87.00000,7.00000,41,Rural: Fringe,19.05000000,Regular Local,Open
1200750,FL-25,HARDEE,Hardee County,PO BOX 1678,WAUCHULA,FL,33873,1678,(863)773-9058,4901.00000,287.00000,11.00000,32,Town: Distant,17.08000000,Regular Local,Open
1200780,FL-26,HENDRY,Hendry County,PO BOX 1980,LABELLE,FL,33975,1980,(863)674-4642,13859.00000,348.28000,15.00000,32,Town: Distant,39.79000000,Regular Local,Open
1200810,FL-27,HERNANDO,Hernando County,919 N BROAD ST,BROOKSVILLE,FL,34601,2397,(352)797-7000,24058.00000,1383.10000,32.00000,22,Suburb: Midsize,17.39000000,Regular Local,Open
1200840,FL-28,HIGHLANDS,Highlands County,426 SCHOOL ST,SEBRING,FL,33870,4048,(863)471-5000,12362.00000,620.50000,24.00000,13,City: Small,19.92000000,Regular Local,Open
1200870,FL-29,HILLSBOROUGH,Hillsborough County,PO BOX 3408,TAMPA,FL,33601,3408,(813)272-4000,224538.00000,12405.95000,305.00000,21,Suburb: Large,18.10000000,Regular Local,Open
1200900,FL-30,HOLMES,Holmes County,701 E PENNSYLVANIA AVE,BONIFAY,FL,32425,2349,(850)547-9341,3233.00000,199.32000,10.00000,32,Town: Distant,16.22000000,Regular Local,Open
1200084,FL-80,IDEA PUBLIC SCHOOLS,Hidalgo County,2115 W. Pike Blvd,WESLACO,TX,78596,,(956)377-8000,2334.00000,132.00000,4.00000,11,City: Large,17.68000000,Charter,Open
1200930,FL-31,INDIAN RIVER,Indian River County,6500 57TH ST,VERO BEACH,FL,32967,6002,(772)564-3000,17199.00000,979.80000,28.00000,22,Suburb: Midsize,17.55000000,Regular Local,Open
1200960,FL-32,JACKSON,Jackson County,PO BOX 5958,MARIANNA,FL,32447,5958,(850)482-1200,6076.00000,409.50000,19.00000,42,Rural: Distant,14.84000000,Regular Local,Open
1200990,FL-33,JEFFERSON,Jefferson County,1490 W WASHINGTON ST,MONTICELLO,FL,32344,1132,(850)342-0100,730.00000,50.00000,6.00000,42,Rural: Distant,14.60000000,Regular Local,Open
1200083,FL-98Z,KIPP CHARTER,Miami-Dade County,3400 NW 87TH ST,MIAMI,FL,33147,3944,(786)309-1047,1048.00000,61.00000,0.00000,21,Suburb: Large,17.18000000,Charter,Open
1201020,FL-34,LAFAYETTE,Lafayette County,363 NE CRAWFORD ST,MAYO,FL,32066,5612,(386)294-1351,1144.00000,72.00000,5.00000,43,Rural: Remote,15.89000000,Regular Local,Open
1201050,FL-35,LAKE,Lake County,201 W BURLEIGH BLVD,TAVARES,FL,32778,2407,(352)253-6500,47452.00000,2719.64000,61.00000,22,Suburb: Midsize,17.45000000,Regular Local,Open
1200080,FL-53D,LAKE WALES CHARTER SCHOOLS,Polk County,130 EAST CENTRAL AVENUE,LAKE WALES,FL,33853,,(863)679-6560,4925.00000,258.00000,0.00000,22,Suburb: Midsize,19.09000000,Charter,Open
1201080,FL-36,LEE,Lee County,2855 COLONIAL BLVD,FORT MYERS,FL,33966,1012,(239)334-1102,99354.00000,4977.36000,120.00000,21,Suburb: Large,19.96000000,Regular Local,Open
1201110,FL-37,LEON,Leon County,2757 W PENSACOLA ST,TALLAHASSEE,FL,32304,2907,(850)487-7100,32212.00000,1864.60000,56.00000,12,City: Midsize,17.28000000,Regular Local,Open
1201140,FL-38,LEVY,Levy County,480 MARSHBURN DR,BRONSON,FL,32621,6221,(352)486-5231,5689.00000,282.70000,15.00000,42,Rural: Distant,20.12000000,Regular Local,Open
1201170,FL-39,LIBERTY,Liberty County,PO BOX 429,BRISTOL,FL,32321,0429,(850)643-2275,1295.00000,87.07000,9.00000,42,Rural: Distant,14.87000000,Regular Local,Open
1201200,FL-40,MADISON,Madison County,210 NE DUVAL AVE,MADISON,FL,32340,2541,(850)973-5022,2418.00000,130.75000,13.00000,41,Rural: Fringe,18.49000000,Regular Local,Open
1201230,FL-41,MANATEE,Manatee County,PO BOX 9069,BRADENTON,FL,34206,9069,(941)708-8770,51234.00000,2963.45000,82.00000,21,Suburb: Large,17.29000000,Regular Local,Open
1201260,FL-42,MARION,Marion County,PO BOX 670,OCALA,FL,34478,0670,(352)671-7700,44493.00000,2332.00000,64.00000,41,Rural: Fringe,19.08000000,Regular Local,Open
1201290,FL-43,MARTIN,Martin County,500 E OCEAN BLVD,STUART,FL,34994,2572,(772)219-1200,18650.00000,1055.05000,35.00000,21,Suburb: Large,17.68000000,Regular Local,Open
1202018,FL-815,MATER ACADEMY,Miami-Dade County,8003 NW 103rd Street,HIALEAH GARDENS,FL,33016,,(786)245-3377,791.00000,44.00000,0.00000,21,Suburb: Large,17.98000000,Charter,Open
1200390,FL-13,MIAMI-DADE,Miami-Dade County,1450 NE 2ND AVE # 912,MIAMI,FL,33132,1308,(305)995-1000,334090.00000,16606.00000,536.00000,21,Suburb: Large,20.12000000,Regular Local,Open
1201320,FL-44,MONROE,Monroe County,241 TRUMBO RD,KEY WEST,FL,33040,6684,(305)293-1400,8929.00000,576.52000,25.00000,33,Town: Remote,15.49000000,Regular Local,Open
1201350,FL-45,NASSAU,Nassau County,1201 ATLANTIC AVE,FERNANDINA BEACH,FL,32034,3403,(904)491-9900,12668.00000,746.00000,22.00000,31,Town: Fringe,16.98000000,Regular Local,Open
1201380,FL-46,OKALOOSA,Okaloosa County,120 LOWERY PL SE,FORT WALTON BEACH,FL,32548,5547,(850)833-3100,32733.00000,1685.60000,52.00000,22,Suburb: Midsize,19.42000000,Regular Local,Open
1201410,FL-47,OKEECHOBEE,Okeechobee County,700 SW 2ND AVE,OKEECHOBEE,FL,34974,5117,(863)462-5000,6398.00000,348.19000,13.00000,32,Town: Distant,18.38000000,Regular Local,Open
1201440,FL-48,ORANGE,Orange County,445 W AMELIA ST,ORLANDO,FL,32801,1129,(407)317-3200,207561.00000,11411.00000,275.00000,21,Suburb: Large,18.19000000,Regular Local,Open
1201470,FL-49,OSCEOLA,Osceola County,817 BILL BECK BLVD,KISSIMMEE,FL,34744,4492,(407)870-4600,73558.00000,3973.25000,86.00000,21,Suburb: Large,18.51000000,Regular Local,Open
1201500,FL-50,PALM BEACH,Palm Beach County,3300 FOREST HILL BLVD # C-316,WEST PALM BEACH,FL,33406,5869,(561)434-8000,188843.00000,11177.60000,235.00000,21,Suburb: Large,16.89000000,Regular Local,Open
1201530,FL-51,PASCO,Pasco County,7227 LAND O LAKES BLVD,LAND O LAKES,FL,34638,2826,(813)794-2000,84049.00000,4792.52000,106.00000,21,Suburb: Large,17.54000000,Regular Local,Open
1201560,FL-52,PINELLAS,Pinellas County,301 4TH ST SW,LARGO,FL,33770,3536,(727)588-6000,93702.00000,5803.53000,153.00000,11,City: Large,16.15000000,Regular Local,Open
1201590,FL-53,POLK,Polk County,PO BOX 391,BARTOW,FL,33831,0391,(863)534-0500,109558.00000,5972.60000,167.00000,22,Suburb: Midsize,18.34000000,Regular Local,Open
1201620,FL-54,PUTNAM,Putnam County,200 REID ST,PALATKA,FL,32177,3736,(386)329-0538,10293.00000,513.67000,19.00000,32,Town: Distant,20.04000000,Regular Local,Open
1202017,FL-16R,SAN JOSE SCHOOLS,Duval County,11363 SAN JOSE BLVD,JACKSONVILLE,FL,32221,,(904)337-4090,1144.00000,46.00000,0.00000,11,City: Large,24.87000000,Charter,Open
1201650,FL-57,SANTA ROSA,Santa Rosa County,5086 CANAL ST,MILTON,FL,32570,2257,(850)983-5000,30764.00000,1701.10000,42.00000,21,Suburb: Large,18.08000000,Regular Local,Open
1201680,FL-58,SARASOTA,Sarasota County,1960 LANDINGS BLVD,SARASOTA,FL,34231,3300,(941)927-9000,45077.00000,2942.73000,63.00000,13,City: Small,15.32000000,Regular Local,Open
1201710,FL-59,SEMINOLE,Seminole County,400 E LAKE MARY BLVD,SANFORD,FL,32773,7125,(407)320-0000,66680.00000,3458.96000,76.00000,21,Suburb: Large,19.28000000,Regular Local,Open
1200081,FL-50D,SOUTH TECH ACADEMY,Palm Beach County,1300 SW 30TH AVENUE,BOYNTON BEACH,FL,33426,9018,(561)369-7004,1724.00000,82.25000,0.00000,13,City: Small,20.96000000,Charter,Open
1201740,FL-55,ST. JOHNS,St. Johns County,40 ORANGE ST,ST AUGUSTINE,FL,32084,3633,(904)547-7500,50155.00000,2823.53000,55.00000,41,Rural: Fringe,17.76000000,Regular Local,Open
1201770,FL-56,ST. LUCIE,St. Lucie County,9461 Brandywine Lane,PORT ST LUCIE,FL,34986,2209,(772)429-3600,45661.00000,2369.83000,53.00000,12,City: Midsize,19.27000000,Regular Local,Open
1201800,FL-60,SUMTER,Sumter County,2680 WEST COUNTY ROAD 476,BUSHNELL,FL,33513,3574,(352)793-2315,9404.00000,555.10000,13.00000,13,City: Small,16.94000000,Regular Local,Open
1201830,FL-61,SUWANNEE,Suwannee County,1729 WALKER AVE SW,LIVE OAK,FL,32064,4059,(386)647-4600,5935.00000,306.26000,13.00000,33,Town: Remote,19.38000000,Regular Local,Open
1201860,FL-62,TAYLOR,Taylor County,318 N CLARK ST,PERRY,FL,32347,2930,(850)838-2500,2783.00000,157.00000,8.00000,41,Rural: Fringe,17.73000000,Regular Local,Open
1202019,FL-81,TCC,†,444 APPLEYARD DRIVE,TALLAHASSEE,FL,32304,,(850)201-8680,†,†,1.00000,†,†,†,Charter,Added
1200082,FL-48D,UCP,Orange County,3305 S ORANGE AVENUE,ORLANDO,FL,32806,,(407)852-3300,884.00000,69.00000,0.00000,11,City: Large,12.81000000,Charter,Open
1202015,FL-75,UF LAB SCH,Alachua County,PO BOX 118530,GAINESVILLE,FL,32611,8530,(352)392-1554,1287.00000,70.73000,2.00000,12,City: Midsize,18.20000000,Other,Open
1201890,FL-63,UNION,Union County,55 SW 6TH ST,LAKE BUTLER,FL,32054,2519,(352)448-5051,2385.00000,149.53000,6.00000,32,Town: Distant,15.95000000,Regular Local,Open
1201920,FL-64,VOLUSIA,Volusia County,PO BOX 2118,DELAND,FL,32721,2118,(386)734-7190,63365.00000,3637.64000,89.00000,13,City: Small,17.42000000,Regular Local,Open
1201950,FL-65,WAKULLA,Wakulla County,PO BOX 100,CRAWFORDVILLE,FL,32326,0100,(850)926-0065,5156.00000,308.00000,15.00000,42,Rural: Distant,16.74000000,Regular Local,Open
1201980,FL-66,WALTON,Walton County,145 S PARK ST,DEFUNIAK SPRINGS,FL,32435,2909,(850)892-1100,11575.00000,718.83000,24.00000,42,Rural: Distant,16.10000000,Regular Local,Open
1202010,FL-67,WASHINGTON,Washington County,652 3RD ST,CHIPLEY,FL,32428,1442,(850)638-6222,3313.00000,191.70000,10.00000,41,Rural: Fringe,17.28000000,Regular Local,Open
