NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*,Directly Certified*,Type,Status
120144010794,FL-48-1444,1201440,FL-48,–,–,130-E-SE-2,ORANGE,†,445 W AMELIA ST,ORLANDO,FL,32801,,(407)317-3200,†,N,No,†,†,†,†,†,†,Regular,Future
120144009033,FL-48-1961,1201440,FL-48,06,08,34-M-W-7  (34-M-N-7),ORANGE,Orange County,445 W. AMELIA ST,ORLANDO,FL,32801,,(407)317-3200,11,City: Large,No,0.00000,0.00000,†,†,†,†,Regular,Open
120009000067,FL-03-0491,1200090,FL-03,09,12,A. CRAWFORD MOSLEY HIGH SCHOOL,BAY,Bay County,501 MOSLEY DR,LYNN HAVEN,FL,32444,,(850)767-4400,22,Suburb: Midsize,No,1901.00000,76.40000,24.8800000,618.00000,67.00000,592.00000,Regular,Open
120009008970,FL-03-0611,1200090,FL-03,PK,04,A. GARY WALSINGHAM ACADEMY,BAY,Bay County,44 CHIP SEAL PARKWAY,PANAMA CITY BEACH,FL,32407,,(850)767-5475,41,Rural: Fringe,No,343.00000,21.00000,16.3300000,93.00000,30.00000,60.00000,Regular,Open
120051000811,FL-17-0501,1200510,FL-17,PK,05,A. K. SUTER ELEMENTARY SCHOOL,ESCAMBIA,Escambia County,501 PICKENS AVE,PENSACOLA,FL,32503,,(850)595-6810,13,City: Small,No,587.00000,36.60000,16.0400000,260.00000,33.00000,240.00000,Regular,Open
120003000018,FL-01-0221,1200030,FL-01,06,08,A. L. MEBANE MIDDLE SCHOOL,ALACHUA,Alachua County,16401 NW 140TH ST,ALACHUA,FL,32615,,(386)462-1648,31,Town: Fringe,No,332.00000,14.33000,23.1700000,191.00000,11.00000,191.00000,Regular,Open
120048000773,FL-16-2851,1200480,FL-16,08,12,A. PHILIP RANDOLPH ACADEMIES,DUVAL,Duval County,1157 GOLFAIR BLVD,JACKSONVILLE,FL,32209,,(904)924-3011,11,City: Large,No,389.00000,24.00000,16.2100000,285.00000,0.00000,285.00000,Regular,Open
120201203140,FL-72-0011,1202012,FL-72,KG,12,A.D. HENDERSON UNIVERSITY SCHOOL & FAU HIGH SCHOOL,FAU LAB SCH,Palm Beach County,777 GLADES RD BLDG 30,BOCA RATON,FL,33431,,(561)297-3970,13,City: Small,No,1325.00000,42.00000,31.5500000,239.00000,58.00000,211.00000,Regular,Open
120003000004,FL-01-0052,1200030,FL-01,06,12,A.QUINN JONES CENTER,ALACHUA,Alachua County,1108 NW 7TH AVE,GAINESVILLE,FL,32601,,(352)955-6840,12,City: Midsize,No,64.00000,14.25000,4.4900000,62.00000,0.00000,61.00000,Other/Alternative,Open
120048003173,FL-16-2631,1200480,FL-16,PK,05,ABESS PARK ELEMENTARY SCHOOL,DUVAL,Duval County,12731 ABESS BLVD,JACKSONVILLE,FL,32225,,(904)220-1260,11,City: Large,No,600.00000,43.00000,13.9500000,308.00000,0.00000,308.00000,Regular,Open
120003000010,FL-01-0112,1200030,FL-01,06,08,ABRAHAM LINCOLN MIDDLE SCHOOL,ALACHUA,Alachua County,1001 SE 12TH ST,GAINESVILLE,FL,32641,,(352)955-6711,12,City: Midsize,No,709.00000,26.60000,26.6500000,377.00000,10.00000,377.00000,Regular,Open
120018008534,FL-06-5233,1200180,FL-06,09,12,ACADEMIC SOLUTIONS ACADEMY A,BROWARD,Broward County,10044 NW 31ST STREET,CORAL SPRINGS,FL,33065,,(954)572-6600,12,City: Midsize,Yes,233.00000,3.00000,77.6700000,230.00000,0.00000,3.00000,Other/Alternative,Open
120018008260,FL-06-5028,1200180,FL-06,09,12,ACADEMIC SOLUTIONS HIGH SCHOOL,BROWARD,Broward County,10044 NW 31ST STREET,CORAL SPRINGS,FL,33065,,(954)572-6600,12,City: Midsize,Yes,234.00000,3.99000,58.6500000,231.00000,0.00000,3.00000,Other/Alternative,Open
120156003255,FL-52-7131,1201560,FL-52,KG,08,ACADEMIE DA VINCI CHARTER SCHOOL,PINELLAS,Pinellas County,1060 KEENE RD,DUNEDIN,FL,34698,,(727)298-2778,21,Suburb: Large,Yes,345.00000,29.00000,11.9000000,99.00000,9.00000,97.00000,Regular,Open
120039008693,FL-13-0412,1200390,FL-13,KG,05,ACADEMIR CHARTER SCHOOL EAST AT DORAL,MIAMI-DADE,Miami-Dade County,11300 NW 41ST STREET,DORAL,FL,33178,,(305)801-3342,13,City: Small,Yes,458.00000,26.00000,17.6200000,116.00000,34.00000,85.00000,Regular,Open
120039010629,FL-13-0422,1200390,FL-13,06,08,ACADEMIR CHARTER SCHOOL EAST MIDDLE,MIAMI-DADE,Miami-Dade County,11300 NW 41 STREET,DORAL,FL,33178,,(786)360-6033,13,City: Small,Yes,33.00000,1.00000,33.0000000,9.00000,2.00000,3.00000,Regular,Open
120039008218,FL-13-6082,1200390,FL-13,06,08,ACADEMIR CHARTER SCHOOL MIDDLE,MIAMI-DADE,Miami-Dade County,5800 SW 135TH AVE,MIAMI,FL,33183,,(305)967-8492,21,Suburb: Large,Yes,297.00000,16.00000,18.5600000,173.00000,13.00000,71.00000,Regular,Open
120039008748,FL-13-4242,1200390,FL-13,KG,05,ACADEMIR CHARTER SCHOOL OF MATH AND SCIENCE,MIAMI-DADE,Miami-Dade County,13330 SW 288TH STREET,HOMESTEAD,FL,33030,,(786)601-7668,21,Suburb: Large,Yes,399.00000,19.00000,21.0000000,269.00000,23.00000,221.00000,Regular,Open
120039008518,FL-13-1015,1200390,FL-13,KG,08,ACADEMIR CHARTER SCHOOL PREPARATORY,MIAMI-DADE,Miami-Dade County,19185 SW 127TH AVE,MIAMI,FL,33177,,(305)964-7542,21,Suburb: Large,Yes,1150.00000,58.00000,19.8300000,812.00000,128.00000,636.00000,Regular,Open
120039007540,FL-13-0410,1200390,FL-13,KG,08,ACADEMIR CHARTER SCHOOL WEST,MIAMI-DADE,Miami-Dade County,14880 SW 26TH ST,MIAMI,FL,33185,,(305)485-9911,21,Suburb: Large,Yes,715.00000,47.00000,15.2100000,296.00000,49.00000,219.00000,Regular,Open
120039010717,FL-13-2032,1200390,FL-13,06,08,ACADEMIR MIDDLE SCHOOL OF MATH AND SCIENCE,MIAMI-DADE,Miami-Dade County,13330 SW 288TH STREET,HOMESTEAD,FL,33033,,(786)601-7668,21,Suburb: Large,Yes,76.00000,3.00000,25.3300000,40.00000,1.00000,5.00000,Regular,Open
120039008481,FL-13-2002,1200390,FL-13,KG,05,ACADEMIR PREPARATORY ACADEMY,MIAMI-DADE,Miami-Dade County,5800 SW 135TH AVE,MIAMI,FL,33183,,(305)967-8492,21,Suburb: Large,Yes,377.00000,23.00000,16.3900000,237.00000,20.00000,88.00000,Regular,Open
120147010796,FL-49-0852,1201470,FL-49,KG,05,ACADEMIR PREPARATORY OF CHAMPIONSGATE,OSCEOLA,†,5420 SW 157TH AVE #5,MIAMI,FL,33185,,(305)225-0444,†,N,Yes,†,†,†,†,†,†,Regular,Added
120153003913,FL-51-4302,1201530,FL-51,KG,08,ACADEMY AT THE FARM,PASCO,Pasco County,9500 ALEX LANGE WAY,DADE CITY,FL,33525,,(352)588-9737,41,Rural: Fringe,Yes,650.00000,45.90000,14.1600000,133.00000,19.00000,126.00000,Regular,Open
120039010743,FL-13-7073,1200390,FL-13,11,12,ACADEMY FOR ADVANCED ACADEMICS,MIAMI-DADE,†,11200 SW 8TH STREET,MIAMI,FL,33199,,(305)348-7041,†,N,No,†,†,†,†,†,†,Regular,Added
120039008684,FL-13-6093,1200390,FL-13,KG,12,ACADEMY FOR INNOVATIVE EDUCATION,MIAMI-DADE,Miami-Dade County,1080 LA BARON DR,MIAMI SPRINGS,FL,33166,,(305)725-3193,21,Suburb: Large,Yes,940.00000,0.00000,†,507.00000,84.00000,482.00000,Regular,Open
120027004326,FL-09-0215,1200270,FL-09,09,12,ACADEMY OF ENVIRONMENTAL SCIENCE,CITRUS,Citrus County,12695 W FORT ISLAND TRL,CRYSTAL RIVER,FL,34429,,(352)795-8793,41,Rural: Fringe,Yes,117.00000,6.00000,19.5000000,42.00000,5.00000,42.00000,Regular,Open
