NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*,Directly Certified*,Type,Status,Latitude,Longitude
262895007802,MI-39140-09848,2628950,MI-39140,PK,05,12th Street Elementary,Portage Public Schools,Kalamazoo County,6501 SOUTH 12TH ST,PORTAGE,MI,49024,1705,(269)323-6900,13,City: Small,No,574.00000,31.03000,18.5000000,136.00000,23.00000,–,Regular,Open,42.2201582,-85.6464438
262016008622,MI-41140-02449,2620160,MI-41140,09,12,54th Street Academy,Kelloggsville Public Schools,Kent County,173 54TH ST SW,GRAND RAPIDS,MI,49548,5611,(616)531-7433,21,Suburb: Large,No,78.00000,2.40000,32.5000000,66.00000,4.00000,–,Other/Alternative,Open,42.8682536,-85.66838949999999
261884009043,MI-70190-04231,2618840,MI-70190,05,06,56 Building at Georgetown,Hudsonville Public School District,Ottawa County,8175 36TH AVE,HUDSONVILLE,MI,49426,,(616)272-7100,41,Rural: Fringe,No,†,†,†,†,†,†,Regular,New,42.9171864,-85.8755053
261925005600,MI-34010-00001,2619250,MI-34010,PK,05,AA Rather School,Ionia Public Schools,Ionia County,380 EAST TUTTLE RD,IONIA,MI,48846,8615,(616)527-1720,41,Rural: Fringe,No,321.00000,17.98000,17.8500000,166.00000,28.00000,–,Regular,Open,42.95108,-85.0673812
260282004004,MI-81010-00006,2602820,MI-81010,KG,05,Abbot School,Ann Arbor Public Schools,Washtenaw County,2670 SEQUOIA PKWY,ANN ARBOR,MI,48103,2662,(734)994-1901,12,City: Midsize,No,326.00000,26.20000,12.4400000,121.00000,16.00000,–,Regular,Open,42.2936986,-83.7850862
261644008574,MI-41010-02044,2616440,MI-41010,PK,08,Aberdeen Academy,Grand Rapids Public Schools,Kent County,928 Aberdeen St NE,Grand Rapids,MI,49505,,(616)819-2868,12,City: Midsize,No,234.00000,18.00000,13.0000000,167.00000,14.00000,–,Regular,Open,43.00582,-85.6461103
260033004509,MI-56903-09696,2600330,MI-56903,09,12,Academic and Career Education Academy,Academic and Career Education Academy,Midland County,884 EAST ISABELLA RD,MIDLAND,MI,48640,8326,(989)631-5202,41,Rural: Fringe,Yes,98.00000,3.85000,25.4500000,84.00000,8.00000,–,Other/Alternative,Open,43.6118295,-84.3352044
260858008255,MI-50010-00896,2608580,MI-50010,02,12,Academy 21,Center Line Public Schools,Macomb County,11300 ENGLEMAN RD,WARREN,MI,48089,3535,(586)510-2062,12,City: Midsize,No,197.00000,10.02000,19.6600000,146.00000,0.00000,–,Regular,Open,42.48022659999999,-83.01173519999999
260016601667,MI-82921-09332,2600166,MI-82921,KG,05,Academy for Business and Technology Elementary,Academy for Business and Technology,Wayne County,5277 CALHOUN ST,DEARBORN,MI,48126,3203,(313)581-2223,12,City: Midsize,Yes,237.00000,16.30000,14.5400000,223.00000,5.00000,–,Regular,Open,42.3262246,-83.1751841
260016601035,MI-82921-08435,2600166,MI-82921,06,12,Academy for Business and Technology High School,Academy for Business and Technology,Wayne County,19625 WOOD ST,MELVINDALE,MI,48122,2201,(313)382-3422,21,Suburb: Large,Yes,258.00000,18.50000,13.9500000,241.00000,0.00000,–,Regular,Open,42.2747123,-83.196687
262313008413,MI-53010-01355,2623130,MI-53010,11,12,Academy of Science Math and Technology Early College High Sc,Mason County Central Schools,Mason County,2130 W US 10,Ludington,MI,49431,,(231)843-5935,41,Rural: Fringe,No,53.00000,1.00000,53.0000000,18.00000,3.00000,–,Regular,Open,43.9564247,-86.33286609999999
