NCES District ID,State District ID,District Name,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Students*,Teachers*,Schools,Locale Code*,Locale*,Student Teacher Ratio*,Type,Status
2600330,MI-56903,Academic and Career Education Academy,Midland County,884 EAST ISABELLA RD,MIDLAND,MI,48640,8326,(989)631-5202,98.00000,3.85000,1.00000,41,Rural: Fringe,25.45000000,Charter,Open
2600166,MI-82921,Academy for Business and Technology,Wayne County,19625 WOOD ST,MELVINDALE,MI,48122,2201,(313)382-3422,495.00000,34.80000,2.00000,21,Suburb: Large,14.22000000,Charter,Open
2600308,MI-50911,Academy of Warren,Macomb County,13943 EAST 8 MILE RD,WARREN,MI,48089,3351,(586)552-8010,802.00000,44.85000,1.00000,12,City: Midsize,17.88000000,Charter,Open
2600963,MI-82717,Achieve Charter Academy,Wayne County,3250 DENTON RD,CANTON,MI,48188,2110,(734)397-0960,779.00000,34.01000,1.00000,41,Rural: Fringe,22.91000000,Charter,Open
2601890,MI-31020,Adams Township School District,Houghton County,PO Box 37,Painesdale,MI,49955,0037,(906)482-0599,466.00000,33.60000,2.00000,42,Rural: Distant,13.87000000,Regular Local,Open
2601920,MI-46020,Addison Community Schools,Lenawee County,219 NORTH COMSTOCK ST,ADDISON,MI,49220,9753,(517)547-6900,717.00000,43.12000,3.00000,42,Rural: Distant,16.63000000,Regular Local,Open
2601950,MI-46010,Adrian Public Schools,Lenawee County,785 RIVERSIDE AVE STE 1,ADRIAN,MI,49221,1467,(517)264-6640,2771.00000,175.80000,7.00000,32,Town: Distant,15.76000000,Regular Local,Open
2600255,MI-63914,Advanced Technology Academy,Wayne County,4800 OAKMAN BLVD,DEARBORN,MI,48126,1492,(313)625-4700,1215.00000,54.24000,1.00000,12,City: Midsize,22.40000000,Charter,Open
2600106,MI-63901,AGBU Alex-Marie Manoogian School,Oakland County,22001 NORTHWESTERN HWY,SOUTHFIELD,MI,48075,4081,(248)569-2988,425.00000,20.83000,1.00000,13,City: Small,20.40000000,Charter,Open
2601980,MI-58020,Airport Community Schools,Monroe County,11270 GRAFTON RD,CARLETON,MI,48117,9392,(734)654-2414,2809.00000,155.53000,9.00000,41,Rural: Fringe,18.06000000,Regular Local,Open
2602010,MI-79010,Akron-Fairgrove Schools,Tuscola County,PO Box 319,Fairgrove,MI,48733,0217,(989)693-6163,340.00000,21.70000,3.00000,42,Rural: Distant,15.67000000,Regular Local,Open
2621810,MI-24030,Alanson Public Schools,Emmet County,7400 NORTH ST,ALANSON,MI,49706,9247,(231)548-2261,229.00000,19.17000,1.00000,42,Rural: Distant,11.95000000,Regular Local,Open
2602040,MI-05010,Alba Public Schools,Antrim County,5935 ELM ST,ELMIRA,MI,49730,8303,(231)584-2000,96.00000,7.20000,1.00000,43,Rural: Remote,13.33000000,Regular Local,Open
2602160,MI-01010,Alcona Community Schools,Alcona County,51 N BARLOW RD,HARRISVILLE,MI,48740,9606,(989)736-6212,677.00000,73.32000,2.00000,42,Rural: Distant,9.23000000,Regular Local,Open
2602190,MI-74030,Algonac Community School District,St. Clair County,5200 TAFT RD,CLAY,MI,48001,4701,(810)794-9364,1364.00000,72.51000,4.00000,21,Suburb: Large,18.81000000,Regular Local,Open
2680100,MI-03000,Allegan Area Educational Service Agency,Allegan County,310 THOMAS ST,ALLEGAN,MI,49010,9158,(269)512-7700,389.00000,58.55000,2.00000,32,Town: Distant,6.64000000,Specialized,Open
2602220,MI-03030,Allegan Public Schools,Allegan County,550 5TH ST,ALLEGAN,MI,49010,1670,(269)673-5431,2198.00000,129.00000,8.00000,32,Town: Distant,17.04000000,Regular Local,Open
2602520,MI-82020,Allen Park Public Schools,Wayne County,9601 VINE AVE,ALLEN PARK,MI,48101,1309,(313)827-2150,3684.00000,194.02000,5.00000,21,Suburb: Large,18.99000000,Regular Local,Open
2602550,MI-70040,Allendale Public Schools,Ottawa County,10505 LEARNING LN,ALLENDALE,MI,49401,8619,(616)892-5570,2636.00000,162.64000,6.00000,21,Suburb: Large,16.21000000,Regular Local,Open
2602640,MI-29010,Alma Public Schools,Gratiot County,1500 PINE AVE,ALMA,MI,48801,1275,(989)463-3111,1873.00000,119.77000,5.00000,32,Town: Distant,15.64000000,Regular Local,Open
2602670,MI-44020,Almont Community Schools,Lapeer County,4701 Howland Rd,ALMONT,MI,48003,1030,(810)798-8561,1402.00000,69.41000,3.00000,41,Rural: Fringe,20.20000000,Regular Local,Open
2602730,MI-04010,Alpena Public Schools,Alpena County,2373 GORDON RD,ALPENA,MI,49707,4627,(989)358-5044,3672.00000,200.89000,9.00000,33,Town: Remote,18.28000000,Regular Local,Open
2680120,MI-04000,Alpena-Montmorency-Alcona ESD,Alpena County,2118 US HIGHWAY 23 S,ALPENA,MI,49707,4542,(989)354-3101,229.00000,23.00000,1.00000,41,Rural: Fringe,9.96000000,Specialized,Open
2601034,MI-35902,Alternative Educational Academy of Iosco County,Iosco County,40 W M 55,TAWAS CITY,MI,48763,9286,(989)362-2575,205.00000,6.03000,1.00000,41,Rural: Fringe,34.00000000,Charter,Open
2601092,MI-65900,Alternative Educational Academy of Ogemaw County,Ogemaw County,2479 S M 76,WEST BRANCH,MI,48661,8749,(989)343-9070,118.00000,4.30000,1.00000,43,Rural: Remote,27.44000000,Charter,Open
2600986,MI-82730,American International Academy,Wayne County,300 Henry Ruff Road,Westland,MI,48186,,(734)713-5525,566.00000,38.67000,3.00000,21,Suburb: Large,14.64000000,Charter,Open
2600312,MI-82981,American Montessori Academy,Wayne County,14800 MIDDLEBELT RD,LIVONIA,MI,48154,4031,(313)533-0000,477.00000,30.50000,2.00000,21,Suburb: Large,15.64000000,Charter,Open
2602790,MI-50040,Anchor Bay School District,St. Clair County,5201 COUNTY LINE RD,CASCO,MI,48064,3409,(586)725-2861,5429.00000,286.22000,11.00000,21,Suburb: Large,18.97000000,Regular Local,Open
2602820,MI-81010,Ann Arbor Public Schools,Washtenaw County,2555 S STATE ST,ANN ARBOR,MI,48104,6145,(734)994-2230,17026.00000,1232.98000,32.00000,12,City: Midsize,13.81000000,Regular Local,Open
2600181,MI-13901,Arbor Academy,Calhoun County,55 ARBOR ST,BATTLE CREEK,MI,49015,2903,(269)963-5851,192.00000,15.00000,1.00000,13,City: Small,12.80000000,Charter,Open
2600989,MI-81909,Arbor Preparatory High School,Washtenaw County,6800 Hitchingham Road,Ypsilanti,MI,48197,,(734)961-9700,280.00000,17.58000,1.00000,41,Rural: Fringe,15.93000000,Charter,Open
2603240,MI-50050,Armada Area Schools,Macomb County,74500 BURK ST,ARMADA,MI,48005,3314,(586)784-2112,1746.00000,103.04000,4.00000,42,Rural: Distant,16.94000000,Regular Local,Open
2600273,MI-50905,Arts Academy in the Woods,Macomb County,32101 Caroline,Fraser,MI,48026,,(586)294-0391,316.00000,22.96000,1.00000,21,Suburb: Large,13.76000000,Charter,Open
2600267,MI-63915,Arts and Technology Academy of Pontiac,Oakland County,888 ENTERPRISE DR,PONTIAC,MI,48341,3167,(248)452-9309,818.00000,26.90000,1.00000,13,City: Small,30.41000000,Charter,Open
2603270,MI-07010,Arvon Township School District,Baraga County,21798 SKANEE RD,SKANEE,MI,49962,9049,(906)524-7336,10.00000,1.75000,1.00000,43,Rural: Remote,5.71000000,Regular Local,Open
2603480,MI-29020,Ashley Community Schools,Gratiot County,PO Box 6,Ashley,MI,48806,0006,(989)847-4000,238.00000,17.00000,4.00000,42,Rural: Distant,14.00000000,Regular Local,Open
2603510,MI-13050,Athens Area Schools,Calhoun County,4320 K DR S,EAST LEROY,MI,49051,9702,(269)729-5427,503.00000,40.38000,2.00000,42,Rural: Distant,12.46000000,Regular Local,Open
