NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*,Directly Certified*,Type,Status,Latitude,Longitude
530486002475,WA-31025-1656,5304860,WA-31025,06,08,10th Street School,Marysville School District,Snohomish County,7204 27th Ave NE,Marysville,WA,98271,,(360)965-0400,22,Suburb: Midsize,No,159.00000,6.50000,24.4600000,52.00000,15.00000,24.00000,Regular,Open,48.0610744,-122.1997969
530910002602,WA-34033-4500,5309100,WA-34033,09,12,A G West Black Hills High School,Tumwater School District,Thurston County,7741 Littlerock Road SW,Tumwater,WA,98512,,(360)709-7800,13,City: Small,No,833.00000,34.88000,23.8800000,201.00000,70.00000,111.00000,Regular,Open,46.9786061,-122.9484216
530003000001,WA-14005-2834,5300030,WA-14005,PK,05,A J West Elementary,Aberdeen School District,Grays Harbor County,1801 Bay Ave.,Aberdeen,WA,98520,5510,(360)538-2131,33,Town: Remote,No,306.00000,22.54000,13.5800000,248.00000,14.00000,156.00000,Regular,Open,46.9718613,-123.8372882
530825002361,WA-32081-1533,5308250,WA-32081,06,12,A-3 Multiagency Adolescent Prog,Spokane School District,Spokane County,1807 N. Washington,Spokane,WA,99205,,(509)354-6299,12,City: Midsize,No,27.00000,4.00000,6.7500000,17.00000,2.00000,13.00000,Regular,Open,47.6743058,-117.4178237
530966001632,WA-04246-3209,5309660,WA-04246,KG,05,Abraham Lincoln Elementary,Wenatchee School District,Chelan County,1224 METHOW ST.,WENATCHEE,WA,98801,,(509)663-5710,13,City: Small,No,465.00000,36.20000,12.8500000,307.00000,9.00000,134.00000,Regular,Open,47.4075125,-120.3096631
530048003466,WA-27403-5372,5300480,WA-27403,09,12,Acceleration Academy,Bethel School District,Pierce County,16218 Pacific Ave,Spanaway,WA,98387,,(253)267-1045,21,Suburb: Large,No,343.00000,0.00000,†,170.00000,24.00000,110.00000,Other/Alternative,Open,47.1090777,-122.435397
530543002063,WA-31006-4247,5305430,WA-31006,09,12,ACES High School,Mukilteo School District,Snohomish County,9700 Holly Drive,Everett,WA,98204,,(425)366-3900,12,City: Midsize,No,145.00000,13.80000,10.5100000,107.00000,6.00000,69.00000,Other/Alternative,Open,47.9111096,-122.2426142
530531000799,WA-37507-2585,5305310,WA-37507,KG,06,Acme Elementary,Mount Baker School District,Whatcom County,5200 TURKINGTON RD,ACME,WA,98220,,(360)383-2045,41,Rural: Fringe,No,203.00000,14.83000,13.6900000,84.00000,16.00000,47.00000,Regular,Open,48.7187683,-122.2088249
530825001361,WA-32081-2156,5308250,WA-32081,PK,06,Adams Elementary,Spokane School District,Spokane County,2909-E 37 Ave,Spokane,WA,99223,4500,(509)354-2000,12,City: Midsize,No,336.00000,27.62000,12.1700000,211.00000,18.00000,154.00000,Regular,Open,47.6212465,-117.3677389
530948002611,WA-39207-4518,5309480,WA-39207,03,05,Adams Elementary,Wapato School District,Yakima County,1309 S Camas Ave,Wapato,WA,98951,9790,(509)877-4180,41,Rural: Fringe,No,384.00000,25.13000,15.2800000,356.00000,14.00000,223.00000,Regular,Open,46.4359251,-120.4159049
530111000187,WA-32356-3259,5301110,WA-32356,PK,05,Adams Elementary,Central Valley School District,Spokane County,14707 E 8th Ave,Spokane Valley,WA,99037,9670,(509)558-4000,12,City: Midsize,No,369.00000,31.00000,11.9000000,159.00000,40.00000,96.00000,Regular,Open,47.650785,-117.2064381
530771001127,WA-17001-2138,5307710,WA-17001,KG,05,Adams Elementary School,Seattle School District No. 1,King County,6110 28 AV NW,SEATTLE,WA,98107,5314,(206)252-1300,11,City: Large,No,318.00000,20.00000,15.9000000,36.00000,10.00000,25.00000,Regular,Open,47.6735243,-122.3915651
531011001685,WA-39007-2592,5310110,WA-39007,PK,05,Adams Elementary School,Yakima School District,Yakima County,723 S 8th St,Yakima,WA,98901,3322,(509)573-5100,13,City: Small,No,616.00000,42.92000,14.3500000,541.00000,29.00000,371.00000,Regular,Open,46.5939254,-120.4901274
530282000430,WA-17210-3519,5302820,WA-17210,PK,05,Adelaide Elementary School,Federal Way School District,King County,1635 SW 304th ST,Federal Way,WA,98023,3431,(253)945-2300,21,Suburb: Large,No,306.00000,21.00000,14.5700000,187.00000,18.00000,109.00000,Regular,Open,47.3288804,-122.3564857
530006000012,WA-21226-2227,5300060,WA-21226,PK,05,Adna Elementary School,Adna School District,Lewis County,P.O. Box 28,Adna,WA,98522,0028,(360)748-7029,42,Rural: Distant,No,263.00000,16.38000,16.0600000,49.00000,15.00000,27.00000,Regular,Open,46.6278946,-123.0597666
530006000013,WA-21226-2441,5300060,WA-21226,06,12,Adna Middle/High School,Adna School District,Lewis County,P.O. Box 148,Adna,WA,98522,0148,(360)748-8552,42,Rural: Distant,No,385.00000,20.47000,18.8100000,67.00000,32.00000,41.00000,Regular,Open,46.6278946,-123.0597666
530972001649,WA-39208-2822,5309720,WA-39208,KG,05,Ahtanum Valley Elementary,West Valley School District (Yakima),Yakima County,3006 S Wiley Rd,Yakima,WA,98908,9743,(509)965-2031,41,Rural: Fringe,No,364.00000,23.60000,15.4200000,212.00000,37.00000,112.00000,Regular,Open,46.5496031,-120.6512946
530802002068,WA-31201-4265,5308020,WA-31201,09,12,AIM High School,Snohomish School District,Snohomish County,1601 Avenue D,Snohomish,WA,98290,,(360)563-3401,22,Suburb: Midsize,No,146.00000,7.00000,20.8600000,50.00000,8.00000,25.00000,Other/Alternative,Open,47.932158,-122.099195
530771001249,WA-17001-3774,5307710,WA-17001,06,08,Aki Kurose Middle School,Seattle School District No. 1,King County,3928 S GRAHAM ST,Seattle,WA,98118,3172,(206)252-7700,11,City: Large,No,772.00000,47.00000,16.4300000,433.00000,74.00000,245.00000,Regular,Open,47.5465221,-122.2824561
530771001234,WA-17001-3778,5307710,WA-17001,09,12,Alan T. Sugiyama High School,Seattle School District No. 1,King County,8601 Rainier Ave S,SEATTLE,WA,98118,4631,(206)252-6600,11,City: Large,No,31.00000,5.20000,5.9600000,21.00000,0.00000,10.00000,Other/Alternative,Open,47.5256639,-122.2708927
530423002648,WA-17414-4424,5304230,WA-17414,KG,05,Albert Einstein Elementary,Lake Washington School District,King County,18025 NE 116th,Redmond,WA,98052,2816,(425)936-2540,13,City: Small,No,520.00000,28.39000,18.3200000,60.00000,31.00000,28.00000,Regular,Open,47.7019907,-122.0984255
530792001297,WA-17412-3674,5307920,WA-17412,06,08,Albert Einstein Middle School,Shoreline School District,King County,19343 3rd Avenue N.W.,Shoreline,WA,98177,3012,(206)393-4730,21,Suburb: Large,No,1009.00000,46.19000,21.8400000,211.00000,87.00000,97.00000,Regular,Open,47.7691951,-122.3631205
530042000098,WA-37501-3200,5300420,WA-37501,PK,05,Alderwood Elementary School,Bellingham School District,Whatcom County,3400 Hollywood Ave,Bellingham,WA,98225,1134,(360)676-6404,22,Suburb: Midsize,No,291.00000,23.71000,12.2700000,190.00000,25.00000,134.00000,Regular,Open,48.77871160000001,-122.5268654
530240000329,WA-31015-3560,5302400,WA-31015,07,08,Alderwood Middle School,Edmonds School District,Snohomish County,1132 172nd St SW,LYNNWOOD,WA,98037,,(425)431-7579,21,Suburb: Large,No,746.00000,38.80000,19.2300000,299.00000,128.00000,158.00000,Regular,Open,47.8407004,-122.2492031
530423000656,WA-17414-3592,5304230,WA-17414,PK,05,Alexander Graham Bell Elementary,Lake Washington School District,King County,11212 NE 112TH,Kirkland,WA,98033,4520,(425)936-2510,21,Suburb: Large,No,517.00000,31.54000,16.3900000,87.00000,25.00000,45.00000,Regular,Open,47.7013002,-122.1924557
530141002839,WA-27400-1825,5301410,WA-27400,11,12,Alfaretta House,Clover Park School District,Pierce County,10320 Farwest Drive SW,Lakewood,WA,98498,,(253)583-5525,13,City: Small,No,14.00000,0.00000,†,9.00000,2.00000,4.00000,Special Education,Open,47.1627989,-122.5776047
530771001129,WA-17001-2181,5307710,WA-17001,PK,05,Alki Elementary School,Seattle School District No. 1,King County,3010 59 AV SW,SEATTLE,WA,98116,2820,(206)252-9050,11,City: Large,No,296.00000,18.80000,15.7400000,26.00000,9.00000,16.00000,Regular,Open,47.57738519999999,-122.407408
530927000578,WA-06037-4406,5309270,WA-06037,06,08,Alki Middle School,Vancouver School District,Clark County,1800 NW BLISS RD,VANCOUVER,WA,98685,1823,(360)313-3200,21,Suburb: Large,No,607.00000,30.03000,20.2100000,181.00000,31.00000,100.00000,Regular,Open,45.7232731,-122.6880253
530486001191,WA-31025-4454,5304860,WA-31025,PK,05,Allen Creek Elementary School,Marysville School District,Snohomish County,6505 60TH DR NE,Marysville,WA,98270,,(360)965-1100,22,Suburb: Midsize,No,428.00000,25.36000,16.8800000,181.00000,33.00000,99.00000,Regular,Open,48.0552962,-122.1472755
530078000154,WA-29100-3603,5300780,WA-29100,KG,08,Allen Elementary,Burlington-Edison School District,Skagit County,17145 COOK ROAD,BOW,WA,98232,9797,(360)757-3352,41,Rural: Fringe,No,404.00000,27.97000,14.4400000,315.00000,22.00000,195.00000,Regular,Open,48.5093251,-122.3741397
530344000514,WA-13151-2968,5303440,WA-13151,09,12,Almira Coulee Hartline High School,Coulee-Hartline School District,Grant County,413 N. 4th Street,Coulee City,WA,99115,,(509)632-5231,43,Rural: Remote,No,88.00000,8.56000,10.2800000,27.00000,11.00000,18.00000,Regular,Open,47.61401739999999,-119.293858
530009000179,WA-22017-2860,5300090,WA-22017,KG,08,Almira Elementary School,Almira School District,Lincoln County,PO BOX 217,ALMIRA,WA,99103,0217,(509)639-2414,43,Rural: Remote,No,144.00000,10.68000,13.4800000,51.00000,10.00000,34.00000,Regular,Open,47.7109823,-118.9408459
530030000029,WA-17408-3825,5300300,WA-17408,PK,05,Alpac Elementary School,Auburn School District,King County,310 MILWAUKEE BLVD N,PACIFIC,WA,98047,1122,(253)931-4976,21,Suburb: Large,No,636.00000,38.42000,16.5500000,344.00000,82.00000,192.00000,Regular,Open,47.2707156,-122.2484743
530095001934,WA-04228-2827,5300950,WA-04228,03,05,Alpine Lakes Elementary,Cascade School District,Chelan County,500 Pine Street,Leavenworth,WA,98826,1215,(509)548-5839,32,Town: Distant,No,253.00000,15.50000,16.3200000,88.00000,24.00000,41.00000,Regular,Open,47.6016105,-120.6616213
530502002807,WA-24350-1845,5305020,WA-24350,KG,12,Alternative Educational Experience,Methow Valley School District,Okanogan County,18 Twin Lakes Rd.,Winthrop,WA,98862,9713,(509)996-9205,43,Rural: Remote,No,27.00000,0.00000,†,7.00000,2.00000,3.00000,Other/Alternative,Open,48.4404188,-120.1664768
530825002362,WA-32081-1566,5308250,WA-32081,PK,PK,Alternative Northeast Community Center Preschool,Spokane School District,Spokane County,4001 N Cook,Spokane,WA,99207,5880,(509)533-8816,12,City: Midsize,No,10.00000,1.00000,10.0000000,7.00000,0.00000,6.00000,Regular,Open,47.694256,-117.374561
530870003051,WA-27010-1514,5308700,WA-27010,09,12,Alternative Spcl Needs Div Occ,Tacoma School District,Pierce County,601 S 8TH ST,TACOMA,WA,98405,4614,(253)571-1040,12,City: Midsize,No,0.00000,0.00000,†,†,†,†,Special Education,Open,47.256358,-122.4457702
530825000074,WA-32081-1604,5308250,WA-32081,07,12,Alternative Tamarack School,Spokane School District,Spokane County,W 2901 Ft George Wright,Spokane,WA,99224,5253,(509)354-8100,12,City: Midsize,No,13.00000,0.00000,†,6.00000,0.00000,3.00000,Regular,Open,47.6778273,-117.4754169
530038000048,WA-06119-2671,5300380,WA-06119,05,08,Amboy Middle School,Battle Ground School District,Clark County,PO Box 200,Battle Ground,WA,98604,0200,(360)885-6050,42,Rural: Distant,No,549.00000,30.05000,18.2700000,133.00000,104.00000,54.00000,Regular,Open,45.7808725,-122.5373651
530393000701,WA-03017-4418,5303930,WA-03017,PK,05,Amistad Elementary School,Kennewick School District,Benton County,123 S Kent St,KENNEWICK,WA,99336,6061,(509)222-5100,13,City: Small,No,866.00000,46.55000,18.6000000,784.00000,34.00000,499.00000,Regular,Open,46.2070892,-119.1309534
530393003663,WA-03017-5520,5303930,WA-03017,PK,05,Amon Creek Elementary,Kennewick School District,Benton County,18 Center Parkway,Richland,WA,99352,,(509)222-7600,13,City: Small,No,739.00000,43.40000,17.0300000,158.00000,39.00000,83.00000,Regular,Open,46.210541,-119.252748
530015000016,WA-29103-2467,5300150,WA-29103,09,12,Anacortes High School,Anacortes School District,Skagit County,1600 20th Street,Anacortes,WA,98221,2396,(360)503-1300,31,Town: Fringe,No,794.00000,39.26000,20.2200000,164.00000,53.00000,83.00000,Regular,Open,48.50756450000001,-122.6226253
530015000015,WA-29103-2707,5300150,WA-29103,06,08,Anacortes Middle School,Anacortes School District,Skagit County,2202 M Avenue,Anacortes,WA,98221,3799,(360)503-1230,31,Town: Fringe,No,574.00000,26.28000,21.8400000,162.00000,48.00000,106.00000,Regular,Open,48.5032394,-122.6179165
530708003717,WA-13144-5585,5307080,WA-13144,KG,05,Ancient Lakes Elementary,Quincy School District,Grant County,417 C Street SE,Quincy,WA,98848,,(509)787-8950,32,Town: Distant,No,374.00000,25.19000,14.8500000,270.00000,28.00000,156.00000,Regular,Open,47.2358921,-119.8453394
530846001430,WA-27001-2040,5308460,WA-27001,PK,03,Anderson Island Elementary,Steilacoom Hist. School District,Pierce County,511 Chambers,Steilacoom,WA,98388,,(206)884-4901,41,Rural: Fringe,No,25.00000,3.20000,7.8100000,12.00000,4.00000,6.00000,Regular,Open,47.1690838,-122.5984636
530870003155,WA-27010-4575,5308700,WA-27010,06,08,Angelo Giaudrone Middle School,Tacoma School District,Pierce County,4902 S Alaska St,Tacoma,WA,98408,,(253)571-5811,12,City: Midsize,No,436.00000,32.71000,13.3300000,267.00000,56.00000,184.00000,Regular,Open,47.2119817,-122.4595421
530375000570,WA-17411-3746,5303750,WA-17411,PK,05,Apollo Elementary,Issaquah School District,King County,15025 SE 117TH ST,RENTON,WA,98059,6017,(425)837-7500,21,Suburb: Large,No,516.00000,36.55000,14.1200000,58.00000,35.00000,22.00000,Regular,Open,47.496978,-122.138976
530972001650,WA-39208-3699,5309720,WA-39208,KG,05,Apple Valley Elementary,West Valley School District (Yakima),Yakima County,7 N 88th Avenue,Yakima,WA,98908,1408,(509)965-2060,13,City: Small,No,417.00000,23.14000,18.0200000,137.00000,38.00000,74.00000,Regular,Open,46.597461,-120.6237718
530771001135,WA-17001-2730,5307710,WA-17001,PK,05,Arbor Heights Elementary School,Seattle School District No. 1,King County,3701 SW 104th Street,SEATTLE,WA,98146,,(206)252-9250,11,City: Large,No,512.00000,35.20000,14.5500000,85.00000,22.00000,53.00000,Regular,Open,47.5096538,-122.3782632
530207000306,WA-32414-2173,5302070,WA-32414,03,05,Arcadia Elementary,Deer Park School District,Spokane County,"""E. 1120 """"D"""" Street""",Deer Park,WA,99006,0610,(509)464-5700,41,Rural: Fringe,No,466.00000,31.50000,14.7900000,192.00000,69.00000,108.00000,Regular,Open,47.95006009999999,-117.4581515
530039000058,WA-17405-3633,5300390,WA-17405,PK,05,Ardmore Elementary School,Bellevue School District,King County,16616 NE 32nd St.,Bellevue,WA,98008,2006,(425)456-4700,12,City: Midsize,No,358.00000,22.21000,16.1200000,144.00000,36.00000,80.00000,Regular,Open,47.63966079999999,-122.1174867
530825001362,WA-32081-2381,5308250,WA-32081,PK,05,Arlington Elementary,Spokane School District,Spokane County,6363 N Smith St,Spokane,WA,99217,7626,(509)354-2100,12,City: Midsize,No,399.00000,37.01000,10.7800000,301.00000,36.00000,220.00000,Regular,Open,47.7158625,-117.3733599
530870001453,WA-27010-2940,5308700,WA-27010,PK,05,Arlington Elementary School,Tacoma School District,Pierce County,7202 South Pine Street,Tacoma,WA,98409,,(253)571-3200,12,City: Midsize,No,397.00000,25.29000,15.7000000,252.00000,33.00000,169.00000,Regular,Open,47.1914234,-122.4745142
530024000023,WA-31016-2523,5300240,WA-31016,09,12,Arlington High School,Arlington School District,Snohomish County,18821 Crown Ridge Blvd,Arlington,WA,98223,4015,(360)618-6300,22,Suburb: Midsize,No,1661.00000,79.15000,20.9900000,480.00000,113.00000,225.00000,Regular,Open,48.1672653,-122.1162326
530024003594,WA-31016-5495,5300240,WA-31016,09,12,Arlington Open Doors,Arlington School District,Snohomish County,4407 172nd ST NE,Arlington,WA,98223,,(360)618-6203,22,Suburb: Midsize,No,46.00000,0.00000,†,31.00000,0.00000,20.00000,Other/Alternative,Open,48.1530779,-122.1701704
530024003065,WA-31016-2277,5300240,WA-31016,PK,12,Arlington Special Educ School,Arlington School District,Snohomish County,315 N French Ave,Arlington,WA,98223,,(360)618-6200,22,Suburb: Midsize,No,0.00000,0.00000,†,†,†,†,Regular,Open,48.1957242,-122.1220417
530066000135,WA-18100-3641,5300660,WA-18100,KG,05,Armin Jahr Elementary,Bremerton School District,Kitsap County,800 Dibb Street,Bremerton,WA,98310,2777,(360)473-4100,13,City: Small,No,380.00000,28.00000,13.5700000,304.00000,11.00000,179.00000,Regular,Open,47.5921323,-122.6354554
530591000875,WA-17417-3107,5305910,WA-17417,PK,05,Arrowhead Elementary,Northshore School District,King County,6725 NE Arrowhead DR,Kenmore,WA,98028,4343,(425)408-4000,21,Suburb: Large,No,278.00000,22.28000,12.4800000,43.00000,16.00000,19.00000,Regular,Open,47.7368418,-122.2509239
530030003174,WA-17408-5082,5300300,WA-17408,PK,05,Arthur Jacobsen Elementary,Auburn School District,King County,29205 132ND AVE SE,Auburn,WA,98092,2142,(253)630-2441,13,City: Small,No,352.00000,27.28000,12.9000000,158.00000,47.00000,110.00000,Regular,Open,47.3403198,-122.1684394
