NCES District ID,State District ID,District Name,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Students*,Teachers*,Schools,Locale Code*,Locale*,Student Teacher Ratio*,Type,Status
5300030,WA-14005,Aberdeen School District,Grays Harbor County,216 N G ST,ABERDEEN,WA,98520,5297,(360)538-2000,3304.00000,204.29000,13.00000,33,Town: Remote,16.17000000,Regular Local,Open
5300060,WA-21226,Adna School District,Lewis County,PO BOX 118,ADNA,WA,98522,0118,(360)748-0362,648.00000,36.84000,2.00000,42,Rural: Distant,17.59000000,Regular Local,Open
5300090,WA-22017,Almira School District,Lincoln County,PO BOX 217,ALMIRA,WA,99103,0217,(509)639-2414,144.00000,10.68000,1.00000,43,Rural: Remote,13.48000000,Regular Local,Open
5300150,WA-29103,Anacortes School District,Skagit County,2200 M AVE,ANACORTES,WA,98221,3794,(360)503-1200,2606.00000,143.74000,8.00000,31,Town: Fringe,18.13000000,Regular Local,Open
5300240,WA-31016,Arlington School District,Snohomish County,315 N FRENCH AVE,ARLINGTON,WA,98223,1317,(360)618-6203,5506.00000,312.50000,11.00000,22,Suburb: Midsize,17.62000000,Regular Local,Open
5300280,WA-02420,Asotin-Anatone School District,Asotin County,PO BOX 489,ASOTIN,WA,99402,0489,(509)243-1100,614.00000,39.40000,2.00000,23,Suburb: Small,15.58000000,Regular Local,Open
5300300,WA-17408,Auburn School District,King County,915 4TH ST NE,AUBURN,WA,98002,4452,(253)931-4900,17857.00000,1054.72000,26.00000,13,City: Small,16.93000000,Regular Local,Open
5300330,WA-18303,Bainbridge Island School District,Kitsap County,8489 MADISON AVE NE,BAINBRIDGE ISLAND,WA,98110,2999,(206)842-4714,3594.00000,202.36000,10.00000,22,Suburb: Midsize,17.76000000,Regular Local,Open
5300014,WA-27931,Bates Technical College,Pierce County,1101 South Yakima Ave.,Tacoma,WA,98405,,(253)680-7000,0.00000,0.00000,2.00000,12,City: Midsize,†,Other,Open
5300380,WA-06119,Battle Ground School District,Clark County,PO BOX 200,BATTLE GROUND,WA,98604,0200,(360)885-5300,12393.00000,699.61000,22.00000,21,Suburb: Large,17.71000000,Regular Local,Open
5300390,WA-17405,Bellevue School District,King County,PO BOX 90010,BELLEVUE,WA,98005,3183,(425)456-4000,19089.00000,1057.60000,30.00000,12,City: Midsize,18.05000000,Regular Local,Open
