NCES-District-ID,District-Name,District-Phone
0601620,ABC Unified,(562)926-5566
0601628,ABLE Charter District,(209)478-1600
0602291,Academia Avance Charter District,(323)230-7270
0602361,Academia Moderna District,(323)923-0383
0601911,Academy for Academic Excellence District,(760)946-5414
0601650,Acalanes Union High,(925)280-3900
0601471,Accelerated Charter Elementary District,(323)846-6694
0601732,Accelerated District,(323)235-6343
0601561,ACE Charter High District,(408)251-1362
0602217,ACE Empower Academy District,(408)729-3920
0601852,ACE Esperanza Middle District,(408)729-3420
0602138,ACE Inspire Academy District,(408)295-6008
0602165,Achieve Academy District,(510)904-6440
0602570,Achieve Charter School of Chico District,(530)872-4100
0602133,Achieve Charter School of Paradise Inc. District,(530)762-2599
0601680,Ackerman Charter,(530)885-1974
0600001,Acton-Agua Dulce Unified,(661)269-0750
0602343,Adelante Charter District,(805)966-7392
0601710,Adelanto Elementary,(760)246-8691
0601724,AeroSTEM Academy District,(530)742-2531
0602543,Agnes J. Johnson Charter District,(707)946-2347
0602227,AIMS College Prep High District,(510)893-8701
0601479,AIMS College Prep Middle District,(510)893-8701
0602092,Alain Leroy Locke College Preparatory Academy District,(323)420-2170
0601355,Alameda Cnty. Student Exchange Prog.,(510)887-0152
0601664,Alameda Community Learning Center District,(510)995-4300
0691051,Alameda County Office of Education,(510)887-0152
0601770,Alameda Unified,(510)337-7000
0601860,Albany City Unified,(510)558-3750
0601896,Albert Einstein Academies District,(858)859-1550
0602072,Alder Grove Charter School 2 District,(707)268-0854
0601890,Alexander Valley Union Elementary,(707)433-1375
0600153,Alhambra Unified,(626)943-3330
0601950,Alisal Union,(831)753-5700
0601989,All Tribes Charter District,(760)749-5982
0601521,All Tribes Elementary Charter District,(760)749-4375
0602175,Allegiance STEAM Academy - Thrive District,(909)465-5404
0691138,Allegiance STEAM Academy - Thrive Fontana District,(909)465-5405
0601980,Allensworth Elementary,(661)849-2401
0602119,Alliance Cindy and Bill Simon Tech Acad High DIST,(323)744-2122
0602453,Alliance College-Ready Middle Academy 12 District,(323)238-7270
0601865,Alliance College-Ready Middle Academy 4 District,(323)451-3009
0601589,Alliance College-Ready Middle Academy 8 District,(323)269-2156
0601666,Alliance Collins Family College-Ready High District,(323)923-1588
0601926,Alliance Dr. Olga Mohan High District,(213)342-2870
0602176,Alliance Gertz-Ressler Richard Merkin 6-12 Complex District,(213)745-8141
0601694,Alliance Jack H. Skirball Middle District,(323)905-1377
0601934,Alliance Judy Ivie Burton Technology Academy High District,(323)920-6125
0601542,Alliance Kory Hunter Middle District,(323)484-0450
0601690,Alliance Leichtman-Levine FAM Foundation Env Sci High DIST,(323)739-0560
0602446,Alliance Marc & Eva Stern Math and Science District,(323)987-2144
0601707,Alliance Margaret M. Bloomfield Tech Acad High DIST,(323)537-2060
0601835,Alliance Marine - Innovation and Tech 6-12 Complex DIST,(747)223-2649
0602407,Alliance Morgan McKinzie High District,(323)526-8198
0602266,Alliance Ouchi-O'Donovan 6-12 Complex District,(323)596-2290
0602362,Alliance Patti And Peter Neuwirth Leadership Acad DIST,(213)342-2874
0601900,Alliance Piera Barbaglia Shaheen HLT SRVs Acad DIST,(323)972-9010
0602279,Alliance Renee and Meyer Luskin Academy High District,(323)905-1210
0602190,Alliance Susan and Eric Smidt Technology High District,(323)352-3206
0601568,Alliance Ted K. Tajima High District,(213)241-8533
0602289,Alliance Tennenbaum Family Technology High District,(323)276-5545
0601654,Alliance Virgil Roberts Leadership Academy District,(323)920-4388
0602408,Alma Fuerte Public District,(626)204-5265
0601943,Almond Acres Charter Academy District,(805)221-8550
0602010,Alpaugh Unified,(559)949-8413
0601636,Alpha Cindy Avitia High District,(408)791-1558
0602221,Alpha: Blanca Alvarado District,(408)780-0831
0601671,Alpha: Cornerstone Academy Preparatory District,(408)361-3876
0602144,Alpha: Jose Hernandez District,(408)780-1551
0691058,Alpine County Office of Education,(530)694-2230
0602070,Alpine County Unified,(530)694-2230
0602100,Alpine Union Elementary,(619)445-3236
0602160,Alta Loma Elementary,(909)484-5151
0602220,Alta Vista Elementary,(559)782-5700
0601625,Alta Vista Innovation High District,(760)203-4846
0602250,Alta-Dutch Flat Union Elementary,(530)389-8283
0601635,Alternatives in Action District,(510)748-4314
0601522,Altus Schools Audeo District,(858)678-2050
0601876,Altus Schools Charter School of San Diego District,(858)678-2020
0601940,Altus Schools East County District,(858)678-2020
0601509,Altus Schools South Bay District,(858)678-2020
0602310,Alum Rock Union Elementary,(408)928-6800
0602360,Alview-Dairyland Union Elementary,(559)665-2394
0602370,Alvina Elementary,(559)864-9411
0602430,Alvord Unified,(951)509-5000
0691001,Amador County Office of Education,(209)257-5330
0600089,Amador County ROP,(209)257-5353
0602450,Amador County Unified,(209)223-1750
0602167,Ambassador Phillip V. Sanchez II Public Charter District,(559)497-9331
0601468,America's Finest Charter District,(619)694-4809
0601880,American Indian Public Charter School II District,(510)893-8701
0602541,American River Collegiate Academy District,(916)672-3550
0602610,Anaheim Elementary,(714)517-7500
0602630,Anaheim Union High,(714)999-3511
0601925,Anahuacalmecac International Univ Prep of N. America DIST,(323)352-3148
0602700,Anderson Union High,(530)378-0568
0602730,Anderson Valley Unified,(707)895-3774
0602307,Animo City of Champions Charter High District,(323)565-1600
0602187,Animo Compton Charter District,(323)565-1600
0601658,Animo Ellen Ochoa Charter Middle District,(323)565-3245
0602096,Animo Florence-Firestone Charter Middle District,(323)565-3280
0602471,Animo Inglewood Charter High District,(323)565-2100
0601657,Animo Jackie Robinson High District,(323)846-5800
0601960,Animo James B. Taylor Charter Middle District,(323)568-8613
0602344,Animo Jefferson Charter Middle District,(323)232-1857
0602052,Animo Leadership High District,(310)216-3277
0601624,Animo Legacy Charter Middle District,(323)600-6000
0601649,Animo Mae Jemison Charter Middle District,(323)565-4450
0602257,Animo Pat Brown District,(323)585-3312
0601899,Animo Ralph Bunche Charter High District,(323)232-9436
0602435,Animo South Los Angeles Charter District,(323)779-0544
0602461,Animo Venice Charter High District,(310)392-8751
0602219,Animo Watts College Preparatory Academy District,(323)756-3930
0602760,Antelope Elementary,(530)527-1272
0601854,Antelope Valley Learning Academy District,(661)272-0044
0600112,Antelope Valley ROP,(661)575-1026
0601363,Antelope Valley Schools Transportation Agency,(661)942-3106
0602820,Antelope Valley Union High,(661)948-7655
0602027,Antioch Charter Academy District,(925)755-7311
0601822,Antioch Charter Academy II District,(925)755-1252
0602850,Antioch Unified,(925)779-7500
0600017,Apple Valley Unified,(760)247-8001
0601742,Ararat Charter District,(818)994-2904
0602970,Arcadia Unified,(626)821-8300
0603000,Arcata Elementary,(707)822-0351
0602277,Architecture Construction & Engr Charter High (ACE) DIST,(805)437-1410
0603060,Arcohe Union Elementary,(209)748-2313
0603090,Arena Union Elementary,(707)882-2803
0601325,Arena Union Elementary/Point Arena Joint Union High,(707)882-2803
0602462,ARISE High District,(510)436-5487
0603180,Armona Union Elementary,(559)583-5000
0691136,Aromas - San Juan Unified,(831)623-4500
0601645,Arroyo Vista Charter District,(619)656-9676
0602389,Arts In Action Community Charter District,(323)266-4371
0601939,Arts in Action Community Middle District,(323)266-4371
0603270,Arvin Union,(661)854-6500
0601711,ASA Charter District,(909)475-3322
0601704,ASCEND District,(510)879-3140
0602321,Aspen Meadow Public District,(559)369-2456
0602559,Aspen Ridge Public District,(559)374-0080
0601714,Aspen Valley Prep Academy District,(559)225-7737
0602123,Aspire Alexander Twilight College Prep Acad DIST,(916)979-1788
0601703,Aspire Alexander Twilight Secondary Academy District,(916)979-1788
0601821,Aspire Antonio Maria Lugo Academy District,(323)585-1153
0602367,Aspire APEX Academy District,(209)466-3861
0602534,Aspire Arts & Sciences Academy District,(209)337-3010
0602376,Aspire Benjamin Holt College Preparatory Academy District,(209)955-1477
0602069,Aspire Benjamin Holt Middle District,(209)437-9899
0602046,Aspire Berkley Maynard Academy District,(510)658-2900
0601598,Aspire Capitol Heights Academy District,(916)739-8520
0601553,Aspire Centennial College Preparatory Academy District,(323)826-9616
0602112,Aspire College Academy District,(510)562-8030
0601604,Aspire East Palo Alto Charter District,(650)614-9100
0602262,Aspire Firestone Academy Charter District,(323)249-5740
0602472,Aspire Gateway Academy Charter District,(323)249-5740
0601552,Aspire Golden State College Preparatory Academy District,(510)567-9631
0602417,Aspire Inskeep Academy Charter District,(323)235-8400
0602335,Aspire Juanita Tate Academy Charter District,(323)235-8400
0601557,Aspire Junior Collegiate Academy District,(323)583-5421
0601801,Aspire Langston Hughes Academy District,(209)943-2389
0602212,Aspire Lionel Wilson College Preparatory Academy District,(510)635-7737
0602448,Aspire Monarch Academy District,(510)568-3101
0601857,Aspire Ollin University Preparatory Academy District,(323)277-2901
0601667,Aspire Pacific Academy District,(323)589-2800
0602445,Aspire Port City Academy District,(209)943-2389
0602403,Aspire Richmond Ca. College Preparatory Academy District,(510)684-8900
0601547,Aspire Richmond Technology Academy District,(510)480-0660
0602452,Aspire River Oaks Charter District,(209)956-8100
0602059,Aspire Rosa Parks Academy District,(209)944-5590
0602196,Aspire Slauson Academy Charter District,(323)235-8400
0602532,Aspire Stockton 6-12 Secondary Academy District,(209)337-3010
0602095,Aspire Summit Charter Academy District,(209)538-8082
0601524,Aspire Titan Academy District,(323)583-5421
0601496,Aspire Triumph Technology Academy District,(510)638-9445
0601778,Aspire University Charter District,(209)544-8722
0601826,Aspire Vanguard College Preparatory Academy District,(209)521-3010
0602476,Aspire Vincent Shalvey Academy District,(209)931-5399
0602437,Assurance Learning Academy District,(661)272-1225
0602581,Astronaut Jose' M. Hernandez Academy District,(209)830-9219
0603300,Atascadero Unified,(805)462-4200
0603420,Atwater Elementary,(209)357-6100
0603480,Auburn Union Elementary,(530)885-7242
0601855,Audeo Charter II District,(858)678-2050
0602248,Audeo Charter School III District,(858)678-2050
0602560,Audeo Valley Charter District,(951)242-6646
0602459,Aurum Preparatory Academy District,(415)763-8974
0602181,Aveson Global Leadership Academy District,(626)797-1438
0602074,Aveson School of Leaders District,(626)797-1440
0603600,Azusa Unified,(626)967-6211
0601474,B. Roberto Cruz Leadership Academy District,(408)471-4680
0603610,Baker Valley Unified,(760)733-4567
