NCES-School-ID,School-Name,School-Type,District,School-Level,Address,Phone,Latitude,Longitude
060429013779,21st Century Learning Institute,Public,Beaumont Unified,"Elementary,High","PO Box 187, Beaumont, CA 92223",(951)769-8424,33.9334088,-116.9734685
062827013394,A Place to Grow,Public,Ojai Unified,,"PO Box 878, Ojai, CA 93024",(805)640-4300,34.45,-119.24
061044001166,A. E. Arnold Elementary,Public,Cypress Elementary,Elementary,"9281 Denni St., Cypress, CA 90630",(714)220-6965,33.827059,-118.0551088
061488001834,A. G. Cook Elementary,Public,Garden Grove Unified,Elementary,"9802 Woodbury Ave., Garden Grove, CA 92844",(714)663-6251,33.763215,-117.9589912
063237004995,A. H. Morgan Elementary,Public,Rialto Unified,Elementary,"1571 North Sycamore Ave., Rialto, CA 92376",(909)820-7882,34.128465,-117.3642068
060231000103,A. J. Dorsa Elementary,Public,Alum Rock Union Elementary,Elementary,"1290 Bal Harbor Dr., San Jose, CA 95122",(408)928-7400,37.3403208,-121.8363729
061970010780,A. L. Conner Elementary,Public,Kings Canyon Joint Unified,Elementary,"222 Fourth St., Orange Cove, CA 93646",(559)305-7200,36.6291252,-119.3084235
062295007772,A. M. Thomas Middle,Public,Lost Hills Union Elementary,Middle,"PO Box 158, Lost Hills, CA 93249",(661)797-2626,35.616349,-119.6942941
063384005217,A. M. Winn Waldorf-Inspired,Public,Sacramento City Unified,"Elementary,Middle","3351 Explorer Dr., Sacramento, CA 95827",(916)395-4505,38.5659693,-121.323864
063492005896,Abbott Middle,Public,San Mateo-Foster City,Middle,"600 36th Ave., San Mateo, CA 94403",(650)312-7600,37.530694,-122.3086921
060002808271,Abby Reinke Elementary,Public,Temecula Valley Unified,Elementary,"43799 Sunny Meadows Dr., Temecula, CA 92592",(951)302-6610,33.491884,-117.0873504
060162010232,ABC Secondary (Alternative),Public,ABC Unified,"Middle,High","12222 Cuesta Dr., Cerritos, CA 90703",(562)229-7770,33.878444,-118.0712061
060162014664,ABC Virtual Academy,Public,ABC Unified,"Elementary,Middle","11939 Aclare St., Cerritos, CA 90703",(562)926-5566,33.8750471,-118.0781726
060162813064,ABLE Charter,Public,ABLE Charter District,"Elementary,High","6515 Inglewood Ave., Stockton, CA 95207",(209)478-1600,38.0101134,-121.3174688
