NCES-School-ID,School-Name,School-Type,NCES-District-ID,District,School-Level,Address,Phone,Latitude,Longitude
120144010794,130-E-SE-2,Public,1201440,ORANGE,,"445 W AMELIA ST, ORLANDO, FL 32801",(407)317-3200,28.5497879,-81.3846849
120144009033,34-M-W-7  (34-M-N-7),Public,1201440,ORANGE,Middle,"445 W. AMELIA ST, ORLANDO, FL 32801",(407)317-3200,28.5497879,-81.3846849
120009000067,A. CRAWFORD MOSLEY HIGH SCHOOL,Public,1200090,BAY,High,"501 MOSLEY DR, LYNN HAVEN, FL 32444",(850)767-4400,30.2103246,-85.6436476
120009008970,A. GARY WALSINGHAM ACADEMY,Public,1200090,BAY,Elementary,"44 CHIP SEAL PARKWAY, PANAMA CITY BEACH, FL 32407",(850)767-5475,30.1952869,-85.7714589
120051000811,A. K. SUTER ELEMENTARY SCHOOL,Public,1200510,ESCAMBIA,Elementary,"501 PICKENS AVE, PENSACOLA, FL 32503",(850)595-6810,30.4267748,-87.18289659999999
120003000018,A. L. MEBANE MIDDLE SCHOOL,Public,1200030,ALACHUA,Middle,"16401 NW 140TH ST, ALACHUA, FL 32615",(386)462-1648,29.8049456,-82.49293639999999
120048000773,A. PHILIP RANDOLPH ACADEMIES,Public,1200480,DUVAL,"Middle,High","1157 GOLFAIR BLVD, JACKSONVILLE, FL 32209",(904)924-3011,30.3677399,-81.6767686
120201203140,A.D. HENDERSON UNIVERSITY SCHOOL & FAU HIGH SCHOOL,Public,1202012,FAU LAB SCH,"Elementary,High","777 GLADES RD BLDG 30, BOCA RATON, FL 33431",(561)297-3970,26.3703941,-80.1033875
120003000004,A.QUINN JONES CENTER,Public,1200030,ALACHUA,"Middle,High","1108 NW 7TH AVE, GAINESVILLE, FL 32601",(352)955-6840,29.6584744,-82.3359847
120048003173,ABESS PARK ELEMENTARY SCHOOL,Public,1200480,DUVAL,Elementary,"12731 ABESS BLVD, JACKSONVILLE, FL 32225",(904)220-1260,30.3225832,-81.476666
120003000010,ABRAHAM LINCOLN MIDDLE SCHOOL,Public,1200030,ALACHUA,Middle,"1001 SE 12TH ST, GAINESVILLE, FL 32641",(352)955-6711,29.6431921,-82.3078798
120018008534,ACADEMIC SOLUTIONS ACADEMY A,Public,1200180,BROWARD,High,"10044 NW 31ST STREET, CORAL SPRINGS, FL 33065",(954)572-6600,26.2687756,-80.2594752
120018008260,ACADEMIC SOLUTIONS HIGH SCHOOL,Public,1200180,BROWARD,High,"10044 NW 31ST STREET, CORAL SPRINGS, FL 33065",(954)572-6600,26.2687756,-80.2594752
120156003255,ACADEMIE DA VINCI CHARTER SCHOOL,Public,1201560,PINELLAS,"Elementary,Middle","1060 KEENE RD, DUNEDIN, FL 34698",(727)298-2778,28.0166834,-82.7640404
120039008693,ACADEMIR CHARTER SCHOOL EAST AT DORAL,Public,1200390,MIAMI-DADE,Elementary,"11300 NW 41ST STREET, DORAL, FL 33178",(305)801-3342,25.8109173,-80.3795825
120039010629,ACADEMIR CHARTER SCHOOL EAST MIDDLE,Public,1200390,MIAMI-DADE,Middle,"11300 NW 41 STREET, DORAL, FL 33178",(786)360-6033,25.8109173,-80.3795825
120039008218,ACADEMIR CHARTER SCHOOL MIDDLE,Public,1200390,MIAMI-DADE,Middle,"5800 SW 135TH AVE, MIAMI, FL 33183",(305)967-8492,25.7129716,-80.413054
120039008748,ACADEMIR CHARTER SCHOOL OF MATH AND SCIENCE,Public,1200390,MIAMI-DADE,Elementary,"13330 SW 288TH STREET, HOMESTEAD, FL 33030",(786)601-7668,25.499304,-80.40600979999999
120039008518,ACADEMIR CHARTER SCHOOL PREPARATORY,Public,1200390,MIAMI-DADE,"Elementary,Middle","19185 SW 127TH AVE, MIAMI, FL 33177",(305)964-7542,25.5876493,-80.39571409999999
120039007540,ACADEMIR CHARTER SCHOOL WEST,Public,1200390,MIAMI-DADE,"Elementary,Middle","14880 SW 26TH ST, MIAMI, FL 33185",(305)485-9911,25.7422551,-80.43587079999999
120039010717,ACADEMIR MIDDLE SCHOOL OF MATH AND SCIENCE,Public,1200390,MIAMI-DADE,Middle,"13330 SW 288TH STREET, HOMESTEAD, FL 33033",(786)601-7668,25.499304,-80.40600979999999
120039008481,ACADEMIR PREPARATORY ACADEMY,Public,1200390,MIAMI-DADE,Elementary,"5800 SW 135TH AVE, MIAMI, FL 33183",(305)967-8492,25.7129716,-80.413054
120147010796,ACADEMIR PREPARATORY OF CHAMPIONSGATE,Public,1201470,OSCEOLA,Elementary,"5420 SW 157TH AVE #5, MIAMI, FL 33185",(305)225-0444,25.7153938,-80.44763569999999
120153003913,ACADEMY AT THE FARM,Public,1201530,PASCO,"Elementary,Middle","9500 ALEX LANGE WAY, DADE CITY, FL 33525",(352)588-9737,28.2953702,-82.2513287
120039010743,ACADEMY FOR ADVANCED ACADEMICS,Public,1200390,MIAMI-DADE,High,"11200 SW 8TH STREET, MIAMI, FL 33199",(305)348-7041,25.7593527,-80.3713022
120039008684,ACADEMY FOR INNOVATIVE EDUCATION,Public,1200390,MIAMI-DADE,"Elementary,High","1080 LA BARON DR, MIAMI SPRINGS, FL 33166",(305)725-3193,25.8125064,-80.274357
120027004326,ACADEMY OF ENVIRONMENTAL SCIENCE,Public,1200270,CITRUS,High,"12695 W FORT ISLAND TRL, CRYSTAL RIVER, FL 34429",(352)795-8793,28.9025064,-82.6459177
120039008647,ACCELERATION ACADEMIES LLC,Public,1200390,MIAMI-DADE,High,"910 W BUREN, CHICAGO, IL 60607",(872)240-2025,41.8960678,-87.616877
