NCES-District-ID,District-Name,District-Phone
2600330,Academic and Career Education Academy,(989)631-5202
2600166,Academy for Business and Technology,(313)382-3422
2600308,Academy of Warren,(586)552-8010
2600963,Achieve Charter Academy,(734)397-0960
2601890,Adams Township School District,(906)482-0599
2601920,Addison Community Schools,(517)547-6900
2601950,Adrian Public Schools,(517)264-6640
2600255,Advanced Technology Academy,(313)625-4700
2600106,AGBU Alex-Marie Manoogian School,(248)569-2988
2601980,Airport Community Schools,(734)654-2414
2602010,Akron-Fairgrove Schools,(989)693-6163
2621810,Alanson Public Schools,(231)548-2261
2602040,Alba Public Schools,(231)584-2000
2602160,Alcona Community Schools,(989)736-6212
2602190,Algonac Community School District,(810)794-9364
2680100,Allegan Area Educational Service Agency,(269)512-7700
2602220,Allegan Public Schools,(269)673-5431
2602520,Allen Park Public Schools,(313)827-2150
2602550,Allendale Public Schools,(616)892-5570
2602640,Alma Public Schools,(989)463-3111
2602670,Almont Community Schools,(810)798-8561
2602730,Alpena Public Schools,(989)358-5044
2680120,Alpena-Montmorency-Alcona ESD,(989)354-3101
2601034,Alternative Educational Academy of Iosco County,(989)362-2575
2601092,Alternative Educational Academy of Ogemaw County,(989)343-9070
2600986,American International Academy,(734)713-5525
2600312,American Montessori Academy,(313)533-0000
2602790,Anchor Bay School District,(586)725-2861
2602820,Ann Arbor Public Schools,(734)994-2230
2600181,Arbor Academy,(269)963-5851
2600989,Arbor Preparatory High School,(734)961-9700
2603240,Armada Area Schools,(586)784-2112
2600273,Arts Academy in the Woods,(586)294-0391
2600267,Arts and Technology Academy of Pontiac,(248)452-9309
2603270,Arvon Township School District,(906)524-7336
2603480,Ashley Community Schools,(989)847-4000
2603510,Athens Area Schools,(269)729-5427
2603540,Atherton Community Schools,(810)591-9182
2603570,Atlanta Community Schools,(989)785-4877
2603600,Au Gres-Sims School District,(989)876-7150
2603660,AuTrain-Onota Public Schools,(906)343-6632
2603690,Avondale School District,(248)537-6001
2600017,Bad Axe Public Schools,(989)269-9938
2603810,Baldwin Community Schools,(231)745-4791
2603870,Bangor Public Schools (Van Buren),(269)427-6800
2603960,Bangor Township S/D #8,(269)674-8091
2603900,Bangor Township Schools,(989)684-8121
2600178,Barack Obama Leadership Academy,(313)823-6000
2603990,Baraga Area Schools,(906)353-6664
2604020,Bark River-Harris School District,(906)466-9981
2680140,Barry ISD,(269)945-9545
2604170,Bath Community Schools,(517)641-6721
2600275,Battle Creek Area Learning Center,(269)565-2460
2601055,Battle Creek Montessori Academy,(269)339-3308
2600005,Battle Creek Public Schools,(269)965-9465
2601000,Bay City Academy,(989)414-8254
2604260,Bay City School District,(989)686-9700
2600067,Bay-Arenac Community High School,(989)893-8811
2680504,Bay-Arenac ISD,(989)686-4410
2604290,Beal City Public Schools,(989)644-3901
2604320,Bear Lake Schools,(231)864-3133
2604350,Beaver Island Community School,(231)448-2744
2604440,Beaverton Schools,(989)246-3000
2604470,Bedford Public Schools,(734)850-6000
2604500,Beecher Community School District,(810)591-9201
2604530,Belding Area School District,(616)794-4700
2604620,Bellaire Public Schools,(231)533-8015
2604650,Bellevue Community Schools,(269)769-3432
2604740,Bendle Public Schools,(810)591-2501
2604800,Bentley Community School District,(810)591-9121
2604830,Benton Harbor Area Schools,(269)605-1000
2600191,Benton Harbor Charter School Academy,(269)925-3807
2604950,Benzie County Central Schools,(231)882-9653
2605010,Berkley School District,(248)837-8000
2605100,Berlin Township S/D #3,(616)527-4900
2680160,Berrien RESA,(269)471-7725
2605430,Berrien Springs Public Schools,(269)471-2891
2600006,Bessemer Area School District,(906)667-0802
2605690,Big Bay De Noc School District,(906)252-4500
2600105,Big Jackson School District,(231)796-8947
2605780,Big Rapids Public Schools,(231)796-2627
2605820,Birch Run Area Schools,(989)624-9307
2605850,Birmingham Public Schools,(248)203-3004
2600114,Black River Public School,(616)355-0055
2601072,Blended Learning Academies Credit Recovery High School,(517)574-4667
2606000,Blissfield Community Schools,(517)486-2205
2606090,Bloomfield Hills Schools,(248)341-5407
2606270,Bloomingdale Public School District,(269)521-3900
2600992,Blue Water Middle College,(810)989-5800
2606300,Bois Blanc Pines School District,(906)632-3373
2606500,Boyne City Public Schools,(231)439-8190
2606510,Boyne Falls Public School District,(231)549-2211
2600284,Bradford Academy,(248)351-0000
2680180,Branch ISD,(517)279-5730
2601042,Branch Line School,(734)335-0663
2606570,Brandon School District in the Counties of Oakland and Lapee,(248)627-1802
2606600,Brandywine Community Schools,(269)684-7150
2606630,Breckenridge Community Schools,(989)842-3182
2606720,Breitung Township School District,(906)779-2650
2600306,Bridge Academy,(313)462-6100
2601136,Bridge Academy of Southwest Michigan,(269)927-1064
2606780,Bridgeport-Spaulding Community School District,(989)777-1770
2606840,Bridgman Public Schools,(269)466-0271
2606870,Brighton Area Schools,(810)299-4040
2606900,Brimley Area Schools,(906)248-3219
2606930,Britton Deerfield Schools,(517)451-4581
2606960,Bronson Community School District,(517)369-3260
2607040,Brown City Community Schools,(810)346-4700
2607140,Buchanan Community Schools,(269)695-8401
2607170,Buckley Community Schools,(231)269-3325
2607320,Bullock Creek School District,(989)631-9022
2607410,Burr Oak Community School District,(269)489-2213
2607470,Burt Township School District,(906)494-2543
2600251,Burton Glen Charter Academy,(810)744-2300
2607530,Byron Area Schools,(810)266-4881
2600096,Byron Center Charter School,(616)878-4852
2607560,Byron Center Public Schools,(616)878-6100
2680920,C.O.O.R. ISD,(989)275-9520
2607590,Cadillac Area Public Schools,(231)876-5000
2607620,Caledonia Community Schools,(616)891-8185
2680200,Calhoun Intermediate School District,(269)781-5141
2607710,Camden-Frontier School,(517)368-5255
2601016,Caniff Liberty Academy,(313)872-2000
2600263,Canton Charter Academy,(734)453-9517
2601080,Canton Preparatory High School,(734)404-6776
2607800,Capac Community Schools,(810)395-3710
2601013,Capstone Academy Charter School (SDA),(313)202-6082
2607890,Carman-Ainsworth Community Schools,(810)591-3205
2608010,Carney-Nadeau Public Schools,(906)398-3052
2608040,Caro Community Schools,(989)673-3160
2608070,Carrollton Public Schools,(989)754-1475
2608130,Carson City-Crystal Area Schools,(989)584-3138
2608160,Carsonville-Port Sanilac School District,(810)657-9393
2608280,Caseville Public Schools,(989)856-2940
2600152,Casman Alternative Academy,(231)723-4981
2608400,Cass City Public Schools,(989)872-2200
2608430,Cassopolis Public Schools,(269)445-0503
2608520,Cedar Springs Public Schools,(616)696-1204
2601131,Center Line Preparatory Academy,(586)690-4290
2608580,Center Line Public Schools,(586)510-2000
2600163,Central Academy,(734)822-1100
2608610,Central Lake Public Schools,(231)544-3141
2608640,Central Montcalm Public Schools,(989)831-2002
2608670,Centreville Public Schools,(269)467-5220
2600139,Cesar Chavez Academy,(313)551-0611
2600168,Chandler Park Academy,(248)905-5030
2600209,Chandler Woods Charter Academy,(616)866-6000
2608730,Charlevoix Public Schools,(231)547-3200
2680240,Charlevoix-Emmet ISD,(231)547-9947
2608770,Charlotte Public Schools,(517)541-5100
2601028,Charlton Heston Academy,(989)632-3390
2600100,Charyl Stockwell Academy,(810)632-2200
2608880,Chassell Township School District,(906)483-2132
2600151,Chatfield School,(810)667-8970
2680260,Cheb-Otsego-Presque Isle ESD,(231)238-9394
2608910,Cheboygan Area Schools,(231)627-4436
2608940,Chelsea School District,(734)433-2208
2609150,Chesaning Union Schools,(989)845-7020
2609560,Chippewa Hills School District,(989)967-2000
2609570,Chippewa Valley Schools,(586)723-2004
2609630,Church School District,(989)269-7772
2600947,Clara B. Ford Academy (SDA),(313)436-0020
2609750,Clare Public Schools,(989)386-9945
2680300,Clare-Gladwin Regional Education Service District,(989)386-3851
2609840,Clarenceville School District,(248)919-0400
2609900,Clarkston Community School District,(248)623-5408
2609930,Clawson Public Schools,(248)632-3341
2610020,Climax-Scotts Community Schools,(269)746-2400
2610050,Clinton Community Schools,(517)456-6501
2680320,Clinton County RESA,(989)224-6831
2610080,Clintondale Community Schools,(586)791-6300
2610110,Clio Area School District,(810)591-7490
2610140,Coldwater Community Schools,(517)279-5910
2600079,Cole Academy,(517)372-0038
2610200,Coleman Community Schools,(989)465-1891
2610230,Colfax Township S/D #1F,(989)269-8853
2610380,Coloma Community Schools,(269)468-2424
2610410,Colon Community School District,(269)432-3231
2606990,Columbia School District,(517)592-6641
2600140,Commonwealth Community Development Academy,(313)366-9470
2610620,Comstock Park Public Schools,(616)254-5002
2610590,Comstock Public Schools,(269)250-8900
2600069,Concord Academy - Boyne,(231)582-0194
2600074,Concord Academy - Petoskey,(231)439-6800
2610650,Concord Community Schools,(517)524-8850
2610750,Constantine Public School District,(269)435-8900
2610830,Coopersville Area Public School District,(616)997-3200
2680505,Copper Country ISD,(906)482-4250
2601137,Copper Island Academy,(906)337-0443
2601101,Cornerstone Jefferson-Douglass Academy,(734)812-8583
2610860,Corunna Public Schools,(989)743-6338
2600142,Countryside Academy,(269)944-3319
2601066,Covenant High School Grand Rapids,(616)364-2000
2600322,Covenant Schools Detroit,(313)558-9271
2610980,Covert Public Schools,(269)764-3704
2611030,Crawford AuSable Schools,(989)344-3500
2600270,Creative Montessori Academy,(734)284-5600
2600207,Creative Technologies Academy,(616)696-4905
2600295,Crescent Academy,(248)423-4581
2600016,Crestwood School District,(313)278-0903
2600150,Cross Creek Charter Academy,(616)656-4000
2600186,Crossroads Charter Academy,(231)796-9041
2611140,Croswell-Lexington Community Schools,(810)679-1000
2600088,Da Vinci Schools,(517)796-0031
2611400,Dansville Schools,(517)623-6120
2600234,David Ellis Academy,(313)450-0642
2600333,David Ellis Academy West,(313)450-0642
2611430,Davison Community Schools,(810)591-0801
2611600,Dearborn City School District,(313)827-3022
2611610,Dearborn Heights School District #7,(313)203-3180
2611670,Decatur Public Schools,(269)423-6800
2611700,Deckerville Community School District,(810)376-3615
2680340,Delta-Schoolcraft ISD,(906)786-9300
2611910,Delton Kellogg Schools,(269)623-1505
2611970,DeTour Area Schools,(906)297-2011
2600980,DeTour Arts and Technology Academy,(906)297-2011
2600174,Detroit Academy of Arts and Sciences,(313)259-1744
2601048,Detroit Achievement Academy,(313)468-9518
2600170,Detroit Community Schools,(313)537-3570
2600232,Detroit Edison Public School Academy,(313)833-1100
2600302,Detroit Enterprise Academy,(313)823-5799
2601003,Detroit Innovation Academy,(313)736-5537
2600974,Detroit Leadership Academy,(313)977-9178
2600278,Detroit Merit Charter Academy,(313)331-3328
2600307,Detroit Premier Academy,(313)945-1472
2601062,Detroit Public Safety Academy,(313)965-6916
2601103,Detroit Public Schools Community District,(313)873-7922
2600239,Detroit Service Learning Academy,(734)604-7696
2611550,DeWitt Public Schools,(517)668-3000
2612030,Dexter Community School District,(734)424-4100
2680360,Dickinson-Iron ISD,(906)779-2690
2601115,Discovery Creative Pathways,(616)916-7509
2626940,Dollar Bay-Tamarack City Area Schools,(906)482-5800
2600175,Dove Academy of Detroit,(313)366-9110
2612150,Dowagiac Union School District,(269)782-4402
2600215,Dr. Joseph F. Pollack Academic Center of Excellence,(248)569-1060
2612240,Dryden Community Schools,(810)448-4092
2612300,Dundee Community Schools,(734)529-2350
2612330,Durand Area Schools,(989)288-2681
2600159,Eagle Crest Charter Academy,(616)786-2400
2601083,Eagle's Nest Academy,(810)787-9019
2600996,East Arbor Charter Academy,(734)484-5506
2612420,East China School District,(810)676-1018
2612480,East Grand Rapids Public Schools,(616)235-3535
2612540,East Jackson Community Schools,(517)764-2090
2612560,East Jordan Public Schools,(231)536-3131
2612600,East Lansing School District,(517)333-7424
2601090,East Shore Leadership Academy,(810)247-0687
2680280,Eastern Upper Peninsula ISD,(906)632-3373
2612660,Easton Township S/D #6,(616)527-4900
2612450,Eastpointe Community Schools,(586)533-3023
2600136,Eaton Academy,(586)777-1519
2612690,Eaton Rapids Public Schools,(517)663-8155
2680380,Eaton RESA,(517)541-8720
2612810,Eau Claire Public Schools,(269)461-6947
2612930,Ecorse Public Schools,(313)294-4750
2612990,Edwardsburg Public Schools,(269)663-1053
2613050,Elk Rapids Schools,(231)264-8692
2613090,Elkton-Pigeon-Bay Port Laker Schools,(989)453-4600
2613110,Ellsworth Community School,(231)588-2544
2613140,Elm River Township School District,(906)288-3751
2600192,Endeavor Charter Academy,(269)962-9300
2615600,Engadine Consolidated Schools,(906)477-6313
2613500,Escanaba Area Public Schools,(906)786-5411
2601032,Escuela Avancemos,(313)596-0079
2613530,Essexville-Hampton Public Schools,(989)894-9700
2613560,Evart Public Schools,(231)734-5594
2600014,Ewen-Trout Creek Consolidated School District,(906)813-0620
2600093,Excel Charter Academy,(616)281-9339
2613680,Excelsior Township S/D #1,(231)922-6200
2610560,Fairview Area School District,(989)848-7004
2614070,Farmington Public School District,(248)489-3340
2614100,Farwell Area Schools,(989)588-9917
2601027,Faxon Academy,(313)282-7618
2614230,Fennville Public Schools,(269)722-3350
2614250,Fenton Area Public Schools,(810)591-4700
2614280,Ferndale Public Schools,(248)586-8651
2614460,Fitzgerald Public Schools,(586)757-1750
2600945,Flagship Charter Academy,(313)933-7933
2600145,Flat River Academy,(616)754-9360
2607080,Flat Rock Community Schools,(734)535-6500
2601117,Flex High School of Michigan,(877)360-5327
2600292,Flex High School of Pontiac,(248)206-4316
2600984,FlexTech High School,(810)844-3366
2601122,Flextech High School Shepherd,(810)206-3260
2601124,Flint Cultural Center Academy,(810)339-8750
2614520,Flint School District of the City of,(810)760-1249
2614550,Flushing Community Schools,(810)591-1180
2614570,Forest Area Community Schools,(231)369-4191
2614610,Forest Hills Public Schools,(616)493-8800
2611190,Forest Park School District,(906)214-4695
2600314,Fortis Academy,(734)572-3623
2601133,Fostering Leadership Academy,(313)977-9178
2600964,Four Corners Montessori Academy,(248)542-7001
2614700,Fowler Public Schools,(989)593-2250
2614730,Fowlerville Community Schools,(517)223-6001
2600218,Francis Reh PSA,(989)753-2349
2614760,Frankenmuth School District,(989)652-9958
2614790,Frankfort-Elberta Area Schools,(231)352-4641
2614820,Fraser Public Schools,(586)439-7000
2615060,Freeland Community School District,(989)695-5527
2615150,Fremont Public School District,(231)924-2350
2600301,Frontier International Academy,(734)369-9500
2615390,Fruitport Community Schools,(231)865-3154
2615420,Fulton Schools,(989)236-7300
2615450,Galesburg-Augusta Community Schools,(269)484-2000
2615540,Garden City Public Schools,(734)762-6311
2601097,Gateway To Success Academy,(231)845-0922
2615730,Gaylord Community Schools,(989)705-3009
2681001,GEE Compass Academy,(734)369-9500
2680400,Genesee ISD,(810)591-4402
2615750,Genesee School District,(810)591-1650
2600224,George Crockett Academy,(313)896-6078
2600249,George Washington Carver Academy,(313)865-6024
2680999,Gerald Dawkins Academy,(517)281-8626
2615870,Gibraltar School District,(734)379-6350
2615970,Gladstone Area Schools,(906)428-2417
2615990,Gladwin Community Schools,(989)426-9255
2616020,Glen Lake Community Schools,(231)334-3061
2615510,Glenn Public School District,(269)512-7970
2600973,Global Heights Academy,(313)624-3400
2601064,Global Tech Academy,(734)390-9625
2616050,Gobles Public School District,(269)628-9390
2616080,Godfrey-Lee Public Schools,(616)241-4722
2616110,Godwin Heights Public Schools,(616)252-2090
2680420,Gogebic-Ontonagon ISD,(906)575-3438
2616320,Goodrich Area Schools,(810)591-2201
2600193,Grand Blanc Academy,(810)953-3140
2616350,Grand Blanc Community Schools,(810)591-6000
2616380,Grand Haven Area Public Schools,(616)850-5015
2616410,Grand Ledge Public Schools,(517)925-5401
2600252,Grand Rapids Child Discovery Center,(616)459-0330
2616440,Grand Rapids Public Schools,(616)819-2000
2601082,Grand River Academy,(248)893-6100
2601095,Grand River Preparatory High School,(616)261-1800
2600265,Grand Traverse Academy,(231)932-6008
2616470,Grandville Public Schools,(616)254-6570
2616500,Grant Public School District,(231)834-5621
2616560,Grant Township S/D #2,(906)289-4447
2616830,Grass Lake Community Schools,(517)867-5540
2680460,Gratiot-Isabella RESD,(989)875-5101
2600157,Great Lakes Academy,(248)334-6434
2601050,Great Lakes Learning Academy,(810)471-4989
2600294,Great Oaks Academy,(586)427-4540
2601037,Greater Heights Academy,(810)768-3860
2617160,Greenville Public Schools,(616)754-3686
2617220,Grosse Ile Township Schools,(734)362-2581
2625740,Grosse Pointe Public Schools,(313)432-3000
2617250,Gull Lake Community Schools,(269)548-3406
2614690,Gwinn Area Community Schools,(906)346-9283
2617340,Hagar Township S/D #6,(269)849-1343
2617370,Hale Area Schools,(989)728-7661
2617400,Hamilton Community Schools,(269)751-5148
2600287,Hamtramck Academy,(313)368-7312
2617520,Hamtramck School District of the City of,(313)591-7412
2617550,Hancock Public Schools,(906)487-5925
2600305,Hanley International Academy,(313)875-8888
2617640,Hanover-Horton School District,(517)563-0100
2600007,Harbor Beach Community Schools,(989)479-3261
2617700,Harbor Springs School District,(231)526-4540
2617730,Harper Creek Community Schools,(269)441-6571
2617760,Harper Woods The School District of the City of,(586)209-2400
2617820,Harrison Community Schools,(989)539-7871
2617860,Hart Public School District,(231)873-6214
2617880,Hartford Public Schools,(269)621-7001
2617910,Hartland Consolidated Schools,(810)626-2100
2617940,Haslett Public Schools,(517)339-8242
2617970,Hastings Area School District,(269)945-6137
2618030,Hazel Park School District of the City of,(248)658-5220
2618180,Hemlock Public School District,(989)642-5282
2600171,Henry Ford Academy,(313)982-6193
