NCES-School-ID,School-Name,School-Type,NCES-District-ID,District,School-Level,Address,Phone,Latitude,Longitude
262895007802,12th Street Elementary,Public,2628950,Portage Public Schools,Elementary,"6501 SOUTH 12TH ST, PORTAGE, MI 49024",(269)323-6900,42.2201582,-85.6464438
262016008622,54th Street Academy,Public,2620160,Kelloggsville Public Schools,High,"173 54TH ST SW, GRAND RAPIDS, MI 49548",(616)531-7433,42.8682536,-85.66838949999999
261884009043,56 Building at Georgetown,Public,2618840,Hudsonville Public School District,Elementary,"8175 36TH AVE, HUDSONVILLE, MI 49426",(616)272-7100,42.9171864,-85.8755053
261925005600,AA Rather School,Public,2619250,Ionia Public Schools,Elementary,"380 EAST TUTTLE RD, IONIA, MI 48846",(616)527-1720,42.95108,-85.0673812
260282004004,Abbot School,Public,2602820,Ann Arbor Public Schools,Elementary,"2670 SEQUOIA PKWY, ANN ARBOR, MI 48103",(734)994-1901,42.2936986,-83.7850862
261644008574,Aberdeen Academy,Public,2616440,Grand Rapids Public Schools,Middle,"928 Aberdeen St NE, Grand Rapids, MI 49505",(616)819-2868,43.00582,-85.6461103
260033004509,Academic and Career Education Academy,Public,2600330,Academic and Career Education Academy,High,"884 EAST ISABELLA RD, MIDLAND, MI 48640",(989)631-5202,43.6118295,-84.3352044
260858008255,Academy 21,Public,2608580,Center Line Public Schools,"Elementary,High","11300 ENGLEMAN RD, WARREN, MI 48089",(586)510-2062,42.48022659999999,-83.01173519999999
260016601667,Academy for Business and Technology Elementary,Public,2600166,Academy for Business and Technology,Elementary,"5277 CALHOUN ST, DEARBORN, MI 48126",(313)581-2223,42.3262246,-83.1751841
260016601035,Academy for Business and Technology High School,Public,2600166,Academy for Business and Technology,"Middle,High","19625 WOOD ST, MELVINDALE, MI 48122",(313)382-3422,42.2747123,-83.196687
262313008413,Academy of Science Math and Technology Early College High Sc,Public,2623130,Mason County Central Schools,High,"2130 W US 10, Ludington, MI 49431",(231)843-5935,43.9564247,-86.33286609999999
260110308927,Academy of the Americas at Logan,Public,2601103,Detroit Public Schools Community District,Elementary,"3811 CICOTTE ST, DETROIT, MI 48210",(313)873-7441,42.3281054,-83.1220912
260110308803,Academy of The Americas High School,Public,2601103,Detroit Public Schools Community District,"Elementary,High","5680 KONKEL ST, DETROIT, MI 48210",(313)335-1310,42.3268233,-83.1100927
260030801884,Academy of Warren,Public,2600308,Academy of Warren,Middle,"13943 EAST 8 MILE RD, WARREN, MI 48089",(586)552-8010,42.4496823,-82.9818466
263597008491,Academy West Alternative Education,Public,2635970,Westwood Heights Schools,"Middle,High","3223 WEST CARPENTER RD, FLINT, MI 48504",(810)591-0123,43.0730393,-83.7424305
