NCES-District-ID,District-Name,District-Phone
5300030,Aberdeen School District,(360)538-2000
5300060,Adna School District,(360)748-0362
5300090,Almira School District,(509)639-2414
5300150,Anacortes School District,(360)503-1200
5300240,Arlington School District,(360)618-6203
5300280,Asotin-Anatone School District,(509)243-1100
5300300,Auburn School District,(253)931-4900
5300330,Bainbridge Island School District,(206)842-4714
5300014,Bates Technical College,(253)680-7000
5300380,Battle Ground School District,(360)885-5300
5300390,Bellevue School District,(425)456-4000
5300420,Bellingham School District,(360)676-6400
5300450,Benge School District,(509)887-2370
5300480,Bethel School District,(253)800-6000
5300510,Bickleton School District,(509)896-5473
5300570,Blaine School District,(360)332-5881
5300630,Boistfort School District,(360)245-3343
5300660,Bremerton School District,(360)473-1034
5300690,Brewster School District,(509)689-3418
5300720,Bridgeport School District,(509)686-5656
5300750,Brinnon School District,(360)680-1107
5300780,Burlington-Edison School District,(360)757-3311
5300810,Camas School District,(360)335-3000
5300840,Cape Flattery School District,(360)963-2329
5300011,Capital Region ESD 113,(360)464-6700
5300870,Carbonado School District,(360)829-0121
5300950,Cascade School District,(509)548-5885
5300960,CASHMERE SCHOOL DISTRICT,(509)782-3355
5300990,Castle Rock School District,(360)501-2940
5300347,Catalyst Public Schools,(360)207-0229
5301050,Centerville School District,(509)773-4893
5301080,Central Kitsap School District,(360)662-3100
5301110,Central Valley School District,(509)558-5400
5300315,Central Washington University,(509)963-1111
5300016,Centralia College,(360)736-9391
5301140,Centralia School District,(360)330-7600
5301170,Chehalis School District,(360)807-7200
5301230,Cheney School District,(509)559-4501
5301260,Chewelah School District,(509)935-6800
5301290,Chimacum School District,(360)302-5892
5301320,Clarkston School District,(509)758-2531
5301350,Cle Elum-Roslyn School District,(509)649-4850
5301410,Clover Park School District,(253)583-5190
5300017,Clover Park Technical College,(253)589-5800
5301440,Colfax School District,(509)397-3042
5301470,College Place School District,(509)525-4827
5301500,Colton School District,(509)229-3385
5301560,Columbia (Stevens) School District,(509)722-3311
5301590,Columbia (Walla Walla) School District,(509)547-2136
5301630,Colville School District,(509)684-7850
5300322,Community Colleges of Spokane,(509)434-5162
5301660,Concrete School District,(360)853-4000
5301680,Conway School District,(360)445-5785
5301710,Cosmopolis School District,(360)532-7181
5303440,Coulee-Hartline School District,(509)632-5231
5301800,Coupeville School District,(360)678-2404
5301830,Crescent School District,(360)928-3311
5301860,Creston School District,(509)636-2721
5301890,Curlew School District,(509)779-4931
5301920,Cusick School District,(509)445-1125
5301950,Damman School District,(509)962-9079
5301980,Darrington School District,(360)436-1323
5302010,Davenport School District,(509)725-1481
5302040,Dayton School District,(509)382-2543
5302070,Deer Park School District,(509)464-5500
5302130,Dieringer School District,(253)862-2537
5302160,Dixie School District,(509)525-5339
5302280,East Valley School District (Spokane),(509)924-1830
5305370,East Valley School District (Yakima),(509)573-7300
5302310,Eastmont School District,(509)884-7169
5302340,Easton School District,(509)656-2317
5302370,Eatonville School District,(360)879-1000
5302400,Edmonds School District,(425)431-7000
5300340,Educational Service Agency 112,(360)750-7500
5300010,Educational Service District 101,(509)789-3800
5300013,Educational Service District 105,(509)575-2885
5300005,Educational Service District 112,(360)750-7500
5300012,Educational Service District 123,(509)547-8441
