NCES-School-ID,School-Name,School-Type,NCES-District-ID,District,School-Level,Address,Phone,Latitude,Longitude
530486002475,10th Street School,Public,5304860,Marysville School District,Middle,"7204 27th Ave NE, Marysville, WA 98271",(360)965-0400,48.0610744,-122.1997969
530910002602,A G West Black Hills High School,Public,5309100,Tumwater School District,High,"7741 Littlerock Road SW, Tumwater, WA 98512",(360)709-7800,46.9786061,-122.9484216
530003000001,A J West Elementary,Public,5300030,Aberdeen School District,Elementary,"1801 Bay Ave., Aberdeen, WA 98520",(360)538-2131,46.9718613,-123.8372882
530825002361,A-3 Multiagency Adolescent Prog,Public,5308250,Spokane School District,"Middle,High","1807 N. Washington, Spokane, WA 99205",(509)354-6299,47.6743058,-117.4178237
530966001632,Abraham Lincoln Elementary,Public,5309660,Wenatchee School District,Elementary,"1224 METHOW ST., WENATCHEE, WA 98801",(509)663-5710,47.4075125,-120.3096631
530048003466,Acceleration Academy,Public,5300480,Bethel School District,High,"16218 Pacific Ave, Spanaway, WA 98387",(253)267-1045,47.1090777,-122.435397
530543002063,ACES High School,Public,5305430,Mukilteo School District,High,"9700 Holly Drive, Everett, WA 98204",(425)366-3900,47.9111096,-122.2426142
530531000799,Acme Elementary,Public,5305310,Mount Baker School District,Elementary,"5200 TURKINGTON RD, ACME, WA 98220",(360)383-2045,48.7187683,-122.2088249
530825001361,Adams Elementary,Public,5308250,Spokane School District,,"2909-E 37 Ave, Spokane, WA 99223",(509)354-2000,47.6212465,-117.3677389
530948002611,Adams Elementary,Public,5309480,Wapato School District,Elementary,"1309 S Camas Ave, Wapato, WA 98951",(509)877-4180,46.4359251,-120.4159049
530111000187,Adams Elementary,Public,5301110,Central Valley School District,Elementary,"14707 E 8th Ave, Spokane Valley, WA 99037",(509)558-4000,47.650785,-117.2064381
530771001127,Adams Elementary School,Public,5307710,Seattle School District No. 1,Elementary,"6110 28 AV NW, SEATTLE, WA 98107",(206)252-1300,47.6735243,-122.3915651
531011001685,Adams Elementary School,Public,5310110,Yakima School District,Elementary,"723 S 8th St, Yakima, WA 98901",(509)573-5100,46.5939254,-120.4901274
530282000430,Adelaide Elementary School,Public,5302820,Federal Way School District,Elementary,"1635 SW 304th ST, Federal Way, WA 98023",(253)945-2300,47.3288804,-122.3564857
530006000012,Adna Elementary School,Public,5300060,Adna School District,Elementary,"P.O. Box 28, Adna, WA 98522",(360)748-7029,46.6278946,-123.0597666
530006000013,Adna Middle/High School,Public,5300060,Adna School District,"Middle,High","P.O. Box 148, Adna, WA 98522",(360)748-8552,46.6278946,-123.0597666
530972001649,Ahtanum Valley Elementary,Public,5309720,West Valley School District (Yakima),Elementary,"3006 S Wiley Rd, Yakima, WA 98908",(509)965-2031,46.5496031,-120.6512946
530802002068,AIM High School,Public,5308020,Snohomish School District,High,"1601 Avenue D, Snohomish, WA 98290",(360)563-3401,47.932158,-122.099195
530771001249,Aki Kurose Middle School,Public,5307710,Seattle School District No. 1,Middle,"3928 S GRAHAM ST, Seattle, WA 98118",(206)252-7700,47.5465221,-122.2824561
530771001234,Alan T. Sugiyama High School,Public,5307710,Seattle School District No. 1,High,"8601 Rainier Ave S, SEATTLE, WA 98118",(206)252-6600,47.5256639,-122.2708927
530423002648,Albert Einstein Elementary,Public,5304230,Lake Washington School District,Elementary,"18025 NE 116th, Redmond, WA 98052",(425)936-2540,47.7019907,-122.0984255
530792001297,Albert Einstein Middle School,Public,5307920,Shoreline School District,Middle,"19343 3rd Avenue N.W., Shoreline, WA 98177",(206)393-4730,47.7691951,-122.3631205
530042000098,Alderwood Elementary School,Public,5300420,Bellingham School District,Elementary,"3400 Hollywood Ave, Bellingham, WA 98225",(360)676-6404,48.77871160000001,-122.5268654
530240000329,Alderwood Middle School,Public,5302400,Edmonds School District,Middle,"1132 172nd St SW, LYNNWOOD, WA 98037",(425)431-7579,47.8407004,-122.2492031
